Store_Number,Airport_Code
9001,EDFM
9005,EDDB
9006,EDDT
9007,EDDL
9008,EDDN
9009,EDDL
9013,EDFM
9016,EDDN
9018,EDJA
9019,EDDH
9020,EDLW
9022,EDDT
9024,EDDT
9025,EDDP
9026,EDDL
9027,EDDR
9028,EDDP
9029,EDFE
9030,EDHL
9031,EDDC
9032,EDRT
9033,EDLW
9034,EDKA
9035,EDDW
9036,EDDT
9037,EDVA
9038,EDDN
9039,EDDV
9040,EDDK
9041,EDDW
9042,EDVA
9043,EDDK
9044,EDDK
9045,EDDK
9046,EDDF
9047,EDDH
9048,EDDW
9049,EDDB
9051,EDAC
9052,EDFM
9053,EDDC
9054,EDFZ
9055,EDLW
9058,ETNL
9059,EDDH
9060,EDDL
9062,EDDT
9064,EDFQ
9066,EDDR
9068,EDDL
9070,EDGS
9072,EDFM
9074,EDDR
9075,EDDP
9077,EDDV
9079,EDDT
9080,EDRN
9082,EDDH
9084,EDDW
9086,EDFQ
9087,EDDP
9088,EDDL
9090,EDDT
9091,EDDN
9096,EDDT
9097,EDMA
9098,EDAC
9099,EDDF
9100,EDXB
9103,EDDK
9104,EDFZ
9105,EDDL
9106,EDDH
9109,EDDT
9110,EDDV
9111,EDDK
9114,EDMA
9116,EDFE
9117,EDKA
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
