City,Date,hail,thunder,tornado,meantempm,meantempi,meandewptm,meandewpti,meanpressurem,meanpressurei,meanwindspdm,meanwindspdi,meanwdire,meanwdird,meanvism,meanvisi,humidity,fog,maxtempm,maxtempi,mintempm,mintempi,maxhumidity,minhumidity,maxdewptm,maxdewpti,mindewptm,mindewpti,rain,maxpressurem,maxpressurei,minpressurem,minpressurei,maxwspdm,maxwspdi,minwspdm,minwspdi,maxvism,maxvisi,snow,minvism,minvisi,gdegreedays,heatingdegreedays,coolingdegreedays,precipm,precipi
EDAC,1/1/2016,0,0,0,2,36,1,35,1025.31,30.28,15,9,SSW,207,11.3,7,91,0,6,42,-1,30,100,72,3,37,-2,28,0,1027,30.34,1023,30.21,25,16,6,4,25,16,0,6,3.7,0,29,0,0,0
EDAC,1/2/2016,0,0,0,0,30,-1,30,1017.47,30.05,9,6,ESE,103,,,87,0,2,35,-3,26,100,81,0,32,-3,27,0,1019,30.09,1016,30.01,17,10,6,4,,,0,,,0,34,0,0,0
EDAC,1/3/2016,0,0,0,0,31,-5,23,1011.53,29.88,10,7,ESE,114,9.2,5.8,73,0,0,32,-1,30,75,69,-5,23,-5,23,0,1014,29.95,1009,29.8,15,9,11,7,10,6.2,0,9,5.6,0,34,0,0,0
EDAC,1/4/2016,0,0,0,-2,27,-4,25,993.44,29.34,6,4,SE,132,4.4,2.7,88,0,-2,28,-3,26,100,74,-3,27,-7,19,0,994,29.36,993,29.33,11,7,6,4,8,5,1,1.2,0.7,0,38,0,0,0
EDAC,1/5/2016,0,0,0,-2,29,-2,29,996.21,29.42,5,3,North,7,2.8,1.8,98,0,-1,30,-2,28,100,93,-1,30,-2,28,0,998,29.47,995,29.39,9,6,4,2,3.5,2.2,0,1.6,1,0,36,0,0,0
EDAC,1/6/2016,0,0,0,-6,20,-7,19,1002.44,29.6,10,6,NE,49,2.1,1.3,95,1,-6,21,-7,18,100,88,-7,20,-8,18,1,1005,29.69,1000,29.53,18,11,6,4,4,2.5,1,0.7,0,0,46,0,0.1,0
EDAC,1/7/2016,0,0,0,1,34,-1,30,999.15,29.5,3,2,ESE,118,4.5,2.8,90,0,5,41,-3,26,100,76,1,34,-3,27,0,1002,29.59,997,29.44,7,5,2,1,8,5,0,1.9,1.2,0,32,0,0,0
EDAC,1/8/2016,0,0,0,4,40,-1,30,1003,29.62,19,12,SW,225,,,68,0,6,42,3,37,75,61,0,32,-1,30,0,1004,29.65,1002,29.59,28,17,15,9,,,0,,,0,26,0,0,0
EDAC,1/9/2016,0,0,0,1,34,-1,31,1004.41,29.66,4,3,SSE,163,10,6.2,84,0,5,41,-3,26,100,70,1,34,-4,25,0,1005,29.68,1004,29.65,9,6,2,1,10,6.2,0,10,6.2,0,32,0,0,0
EDAC,1/10/2016,0,0,0,3,37,2,36,997.06,29.45,14,9,South,174,12.3,7.6,89,0,7,45,-1,29,100,71,4,40,0,32,1,1003,29.62,995,29.39,25,16,7,4,25,16,0,7,4,0,28,0,0.1,0
EDAC,1/11/2016,0,0,0,4,38,4,39,991.35,29.28,5,3,SSE,157,10,6.2,93,0,6,42,2,35,100,87,4,39,2,36,1,994,29.36,989,29.21,9,6,2,1,10,6.2,0,10,6.2,0,26,0,0,0
EDAC,1/12/2016,0,0,0,6,42,2,36,994.95,29.39,17,10,WSW,251,10,6.2,79,0,7,44,4,39,87,66,3,37,1,34,1,998,29.47,991,29.27,24,15,13,8,10,6.2,0,10,6.2,0,24,0,0,0
EDAC,1/13/2016,0,0,0,2,36,1,33,1004.36,29.66,20,13,WSW,249,10,6.2,87,0,5,41,-1,30,100,75,3,37,-2,28,1,1014,29.95,999,29.5,46,29,6,4,10,6.2,0,10,6.2,0,30,0,0,0
