,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,1,2,1,3,1,1,3,1,9,8,0,5,12,1,8,2,13,1,15
1,0,0,1,0,0,2,6,1,3,0,4,4,4,0,0,15,16,1,13,5
2,0,0,0,0,0,0,2,1,3,8,4,4,4,0,0,15,16,1,13,5
3,0,1,2,1,3,1,1,3,1,9,8,0,8,12,1,8,2,13,1,15
4,0,0,1,0,0,2,6,1,2,0,6,7,6,1,14,7,6,8,16,13
5,0,0,0,3,1,0,2,7,3,4,0,5,7,5,5,10,14,14,18,14
6,0,1,2,0,3,1,1,3,5,1,1,4,1,3,9,15,7,1,6,0
7,0,0,1,0,0,2,6,1,2,0,6,7,6,1,14,5,6,8,16,13
8,0,0,1,0,0,2,6,1,2,0,6,7,6,1,14,7,1,8,0,7
9,0,0,1,0,0,0,2,1,3,8,4,3,4,0,0,7,1,17,13,12
10,0,0,1,3,1,0,2,7,6,4,0,5,7,5,14,7,14,17,0,7
11,0,1,2,1,3,1,1,3,5,1,1,4,8,12,9,0,16,13,1,19
12,0,1,2,1,2,3,3,0,7,9,8,0,5,12,1,8,2,2,5,11
13,0,1,2,1,3,1,1,3,5,1,1,9,1,3,9,0,7,5,6,0
14,0,1,2,1,3,1,1,3,5,1,1,9,1,3,9,11,7,5,6,0
15,0,0,0,3,1,0,2,6,3,8,0,3,7,10,8,2,4,17,4,6
16,0,0,0,3,1,0,2,6,3,8,4,3,4,0,0,2,4,17,4,6
17,0,0,1,0,0,2,6,1,2,0,6,7,6,1,14,7,1,8,13,12
18,0,1,2,1,3,1,1,3,5,1,1,9,1,3,9,11,7,5,6,0
19,0,0,1,0,0,2,6,1,2,0,6,7,6,1,14,7,1,8,13,12
20,0,0,0,3,1,0,2,7,6,4,0,5,7,5,5,10,14,14,18,14
21,0,0,1,0,0,2,6,1,3,8,4,3,4,0,0,7,1,17,13,12
22,0,0,0,2,4,4,4,6,4,2,10,10,0,4,10,6,13,12,9,10
23,0,0,1,0,0,2,6,1,2,0,6,7,6,1,14,7,1,8,16,12
24,0,0,1,0,0,2,5,1,8,6,4,2,3,0,0,5,5,15,13,12
25,0,1,2,1,3,1,1,3,5,1,1,9,1,3,9,0,7,5,6,0
26,0,0,1,0,0,2,6,1,2,0,6,7,6,1,14,13,6,8,16,13
27,0,0,1,0,0,2,6,1,2,0,6,7,6,1,14,13,6,8,16,13
28,0,0,1,3,1,5,0,7,6,4,5,5,9,5,3,3,3,9,14,1
29,0,0,0,3,1,0,2,6,3,8,0,3,7,10,8,2,4,6,4,6
30,0,0,0,3,1,0,2,6,3,8,0,3,7,10,8,2,4,6,4,6
31,0,1,2,1,3,1,1,3,1,9,8,0,5,12,1,8,2,2,5,15
32,0,1,2,1,2,3,3,0,7,5,7,11,12,2,6,4,11,10,11,4
33,0,0,1,0,0,2,6,1,3,8,4,3,4,0,0,7,1,17,13,12
34,0,0,1,0,0,2,6,1,2,0,6,7,6,1,14,13,6,8,16,13
35,0,0,1,0,0,2,6,1,2,0,6,7,6,1,14,7,1,8,16,12
36,0,0,0,3,1,0,2,6,3,8,4,3,4,0,8,2,4,17,4,6
37,0,0,1,0,0,2,6,1,2,8,4,3,4,0,0,7,1,17,13,12
38,0,0,1,0,0,2,5,1,8,6,2,2,3,13,11,5,5,15,8,16
39,0,0,1,0,0,2,6,1,2,0,6,7,6,1,11,5,1,8,13,12
40,0,0,1,0,0,2,5,1,8,6,6,2,3,13,11,5,5,15,8,16
41,0,1,2,1,3,1,1,3,5,1,1,9,8,6,9,0,7,16,10,0
42,0,0,0,3,1,0,2,6,3,8,0,3,7,10,8,2,4,6,4,6
43,0,0,0,3,1,0,2,6,3,8,0,3,7,10,8,2,4,6,4,6
44,0,0,0,2,4,4,5,2,8,6,4,2,4,8,13,1,12,4,2,3
45,0,0,1,0,0,2,6,4,2,3,3,7,6,9,4,14,6,0,16,13
46,0,0,1,0,0,2,6,4,2,3,3,1,6,9,4,14,9,0,3,2
47,0,0,1,0,0,2,6,4,2,3,3,1,6,9,4,14,9,0,3,2
48,0,0,1,3,1,5,0,4,2,3,3,1,2,9,4,7,9,0,3,2
49,0,0,1,0,0,2,5,2,8,6,2,2,3,13,11,5,5,15,8,16
50,0,0,1,2,0,4,5,2,8,6,2,2,3,13,13,1,12,4,2,3
51,0,0,0,2,4,4,4,2,4,2,10,6,11,8,2,1,12,4,2,3
52,0,0,0,3,1,5,0,7,6,4,5,5,9,11,3,3,3,9,14,1
53,0,0,0,2,4,4,4,6,4,2,10,10,0,4,10,6,13,12,9,10
54,0,0,1,0,0,2,6,4,2,3,3,1,6,9,4,14,9,0,3,2
55,0,0,1,3,1,5,0,7,6,4,5,5,9,11,3,3,3,9,14,1
56,0,0,0,3,1,4,2,6,3,8,10,3,2,8,12,2,15,11,12,17
57,0,0,1,2,4,4,5,2,8,6,2,2,3,8,13,1,12,4,2,3
58,0,0,1,3,1,5,0,7,6,4,5,5,9,11,3,3,3,9,14,1
59,0,1,0,2,4,4,4,2,4,2,10,6,11,6,2,12,0,3,15,9
60,0,0,1,0,0,2,5,4,8,3,3,1,2,9,4,14,9,0,3,2
61,0,0,0,2,4,4,4,2,4,2,10,6,11,8,13,1,12,4,2,3
62,0,1,0,2,4,4,4,2,4,2,10,6,11,6,2,1,13,16,2,18
63,0,0,1,2,4,4,5,2,8,6,2,2,3,13,13,1,12,4,2,3
64,0,0,0,2,4,4,4,6,4,2,10,10,0,4,10,6,13,12,9,10
65,0,0,0,3,1,5,0,5,0,7,9,1,2,8,12,1,15,11,12,17
66,0,0,1,0,0,2,5,4,8,3,2,1,3,13,11,14,5,15,8,16
67,0,0,0,3,1,5,0,5,0,7,9,8,10,7,12,1,15,11,12,17
68,0,0,1,3,1,5,0,4,0,3,5,1,2,9,3,3,9,0,3,1
69,0,1,2,1,3,1,1,3,5,1,1,9,1,6,9,0,7,16,10,18
70,0,0,0,2,4,4,4,2,4,2,10,6,11,8,13,12,10,4,17,3
71,0,0,0,3,1,5,0,5,0,7,9,8,10,7,7,9,8,7,7,8
72,0,0,0,3,1,5,0,5,0,7,9,8,2,7,12,1,15,11,12,17
73,0,0,1,2,4,4,5,2,8,6,2,2,3,13,13,12,10,4,17,3
74,0,0,1,0,0,5,0,4,0,3,3,1,2,9,4,14,9,0,3,2
