Alpha_0.1,Alpha_1,Alpha_10,Features
0.5991394566227433,0.5800226981303795,0.5005860727223077,Score
145.74331288199403,247.91463034825824,177.2879531982171,Intercept
1.3339524399115137,0.0,-0.0,Open Hours
23.592107443430184,24.180884183547736,29.107966341662664,Labour Hours
0.0,0.0,0.0,"Holiday_Event_
Corpus Christi "
0.0,-0.0,-0.0,Holiday_Event_All Saints Day 
-0.0,-0.0,-0.0,Holiday_Event_All Saints Day Bhol
0.0,-0.0,-0.0,Holiday_Event_Ascension Day
-0.0,-0.0,-0.0,Holiday_Event_Bank Holiday (Good Friday)
258.351595584985,0.0,0.0,Holiday_Event_Black Friday
-0.0,-0.0,-0.0,Holiday_Event_Christmas Day
-0.0,-0.0,-0.0,Holiday_Event_Christmas Day (Bhol)
-1399.1757237772526,-700.8015904604755,-0.0,Holiday_Event_Christmas Eve
0.0,0.0,0.0,Holiday_Event_Corpus Christi 
0.0,0.0,0.0,Holiday_Event_Day Of Reformation Bhol / Halloween
-0.0,-0.0,-0.0,Holiday_Event_Easter Monday Bhol
-0.0,-0.0,-0.0,Holiday_Event_Easter Sunday
-0.0,0.0,-0.0,Holiday_Event_Epiphany
-0.0,-0.0,-0.0,Holiday_Event_German Unity Day Bhol
0.0,-0.0,-0.0,Holiday_Event_Good Friday Bhol
703.0564907000678,0.0,0.0,Holiday_Event_Halloween
0.0,-0.0,-0.0,Holiday_Event_Labour Day
250.79690659037186,0.0,0.0,Holiday_Event_Maw World Wish Day
-0.0,-0.0,-0.0,Holiday_Event_Mother'S Day
0.0,0.0,0.0,Holiday_Event_Mothers Day
-0.0,-0.0,-0.0,Holiday_Event_New Years Day
-1502.1923522097618,-946.7329935706964,-0.0,Holiday_Event_New Years Eve
39.65938166392691,28.056763595783583,0.0,Holiday_Event_None
0.0,0.0,0.0,Holiday_Event_Pentecost
0.0,0.0,-0.0,Holiday_Event_School Holidays End
46.74826440518974,0.0,-0.0,Holiday_Event_School Holidays Start
-0.0,-0.0,-0.0,Holiday_Event_St Stephens Day (Bhol)
0.0,0.0,0.0,Holiday_Event_Unity Day
0.0,0.0,-0.0,Holiday_Event_Valentines Day
-0.0,-0.0,-0.0,Holiday_Event_Womens Day
-48.143247716173825,-141.63523332349502,-0.0,Holiday_Period_Carnival
175.74470248814717,186.84735838266016,128.72021147078598,Holiday_Period_Christmas
278.18655028921717,0.0,0.0,Holiday_Period_Easter
538.7025029059963,133.39409612320839,0.0,Holiday_Period_Halloween
-50.03233867229032,-138.96125118941117,-89.43610739139862,Holiday_Period_None
-39.95104981159851,0.0,0.0,Holiday_Period_Public Holiday
0.0,-77.73273634498278,-0.0,Holiday_Period_School Holidays
96.72050272544173,0.0,0.0,Promo_Cc & Lic
-54.61137781641632,-3.9765837902615977,-0.0,Promo_Ears 342
-201.49777150519503,-70.92211521328166,-0.0,Promo_Ears 342 / Hair 342
-19.790151279200398,-14.998977717321463,-0.0,Promo_Es342
203.40197936171685,134.99238556185173,0.0,Promo_Esb3G2
80.22549929275685,100.5837756269365,70.34607667220416,Promo_Esb3G3
-128.6862566377202,-26.340247340700707,0.0,Promo_Esb3G3 / Secret Sale 342
120.81644574585475,0.0,0.0,Promo_Esb3G3 Min Model / Secret Sale 342
72.29388729742303,0.0,0.0,Promo_Esb3G3 Or H&C B1G150%
54.45647930560413,26.11433563064089,-0.0,Promo_Esb3G3 Or Hair B1G150%
-200.24329880544846,0.0,-0.0,Promo_Esb3G3 Or Jwly B1G150%
1.1731079999617564,0.0,0.0,Promo_Hair & Ears 342
-0.0,0.0,0.0,Promo_Hair & Jwly & Cos 342
-0.0,-0.0,-0.0,Promo_Hair & Jwly 342
74.80514601885932,0.0,-0.0,Promo_Hair & Jwly B3G2
-24.552184409234783,-12.111002462123901,-0.0,Promo_Hair 342
-62.25667226117097,-50.530353026552696,-0.0,Promo_Jwly 342
-3.130372332525906,-0.0,-0.0,Sales_Promo_10 For 5
-0.0,-0.0,-0.0,Sales_Promo_342
57.02435634248687,36.12988014197418,0.0,Sales_Promo_345
-159.78730130834109,-149.856327767122,-0.0,Sales_Promo_345 / 545
205.252477518803,0.0,-0.0,Sales_Promo_345 / 545 (Over €5 @ €5)
-67.90777199358946,-22.685225113461854,-0.0,Sales_Promo_545
37.638724941745885,17.509711707570798,0.0,Sales_Promo_75% Off
77.27848416188921,0.0,0.0,Sales_Promo_B3G3
-175.79190406246957,-0.0,-0.0,Sales_Promo_€2 Dot
-0.0,-0.0,-0.0,Cluster_0
-38.433688796306626,-37.34466049271064,-22.78973442667509,Cluster_1
506.82310628799604,495.68648453118084,389.5117535382067,Cluster_2
-69.931248985013,-55.16909672500304,-0.0,Day_of_Week_0
-63.559542032849436,-53.17054978185177,-0.0,Day_of_Week_1
-40.91353108457761,-31.357926389288522,-0.0,Day_of_Week_2
4.076387011757077,3.9571577607271147,0.0,Day_of_Week_3
90.18537362575462,87.78566757378258,28.994422204978484,Day_of_Week_4
487.17736458435115,472.7072705920866,394.2097624477965,Day_of_Week_5
0.0,-0.0,0.0,Day_of_Week_6
116.0717379964754,25.52130807354706,0.0,Week_Num_1
-88.1073658856718,-72.77299748491059,-0.0,Week_Num_2
-73.85976456570816,-47.69758431535552,-0.0,Week_Num_3
12.983109161913761,-0.0,-0.0,Week_Num_4
179.58146089546517,127.49810499167994,0.0,Week_Num_5
-34.43923949559759,-0.0,-0.0,Week_Num_6
-4.659546673076094,-0.0,-0.0,Week_Num_7
13.852304283721432,0.0,-0.0,Week_Num_8
-47.92035725866404,-3.7581893984617785,-0.0,Week_Num_9
-107.16396178647236,-66.6681256344756,-0.0,Week_Num_10
-91.63310353483452,-56.831840373607406,-0.0,Week_Num_11
-95.09989255629515,-18.490008858723023,-0.0,Week_Num_12
63.25264352379416,42.34623531961242,0.0,Week_Num_13
-52.550586812959565,-2.2810104243697857,-0.0,Week_Num_14
-44.05605989489229,0.0,0.0,Week_Num_15
-19.756986567384942,-0.0,-0.0,Week_Num_16
-57.71781029111539,-0.0,-0.0,Week_Num_17
62.16472617983887,13.841315892327613,0.0,Week_Num_18
-22.952581007988215,-0.0,-0.0,Week_Num_19
-62.68127590670586,-6.676711834343618,-0.0,Week_Num_20
-14.972257397015213,-0.0,-0.0,Week_Num_21
40.38364583481982,0.4595545311351101,0.0,Week_Num_22
2.161439200486235,0.0,0.0,Week_Num_23
28.0230752487843,2.2496849582410086,0.0,Week_Num_24
-70.75021816296169,-0.4901303820531281,-0.0,Week_Num_25
80.93285780086535,41.128374136748725,0.0,Week_Num_26
25.945553838967285,0.0,0.0,Week_Num_27
32.38241407830287,0.0,0.0,Week_Num_28
-35.02603010487367,-0.0,-0.0,Week_Num_29
74.66660073124801,15.550128011801977,0.0,Week_Num_30
124.12272857472705,82.47677286668343,0.0,Week_Num_31
0.0,0.0,0.0,Week_Num_32
-36.69939225291304,-0.0,-0.0,Week_Num_33
-128.78323174478388,-81.03142015535975,-0.0,Week_Num_34
4.564670302487714,0.0,0.0,Week_Num_35
-119.19434752431735,-50.0783964189023,-0.0,Week_Num_36
-22.373246542725433,-0.0,-0.0,Week_Num_37
-70.32641221046812,-30.95446643581529,-0.0,Week_Num_38
-13.38923071865067,-0.0,-0.0,Week_Num_39
37.67459808787956,0.0,0.0,Week_Num_40
30.098781005190702,0.0,0.0,Week_Num_41
-401.64572751738126,-76.43433890039225,-0.0,Week_Num_42
-371.2749704662946,0.0,0.0,Week_Num_43
68.85574967018935,153.63147290783897,0.0,Week_Num_44
-42.60403500053505,-33.175692378434974,-0.0,Week_Num_45
0.0,-0.0,-0.0,Week_Num_46
42.85572670072657,0.0,-0.0,Week_Num_47
306.63570711186094,216.92916995183427,0.0,Week_Num_48
144.02121691471834,0.0,0.0,Week_Num_49
246.27763882569542,56.42666562104957,0.0,Week_Num_50
490.1826216662886,240.2951753267915,0.0,Week_Num_51
747.4236650621649,565.8641049660336,0.0,Week_Num_52
97.59633513999428,0.0,0.0,Week_Num_53
