Store_Number,Airport_Code
601,LFOJ
603,LFHG
604,LFHS
605,LFLC
606,LFQK
608,LFQJ
609,LFPV
610,LFKL
611,LFLY
612,LFQL
613,LFGV
614,LFPB
615,LFML
616,LFOY
617,LFJR
618,LFRN
619,LFMN
621,LFPL
622,LFPV
623,LFMN
624,LFMT
625,LFPO
626,LFRK
627,LFAY
629,LFLU
630,LFSN
631,LFML
632,LFQQ
633,LFQA
634,LFPO
635,LFML
636,LFRG
637,LFGI
638,LFNR
639,LFGB
640,LFPM
641,LFEZ
642,LFGA
643,LFPB
645,LFNT
646,LFST
647,LFMD
648,LFQN
649,LFDK
650,LFDY
652,LFQQ
653,LFAC
654,LFML
656,LFGS
657,LFCL
658,LFPB
659,LFDY
661,LFOR
662,LFPY
663,LFPB
664,LFOP
665,LFQQ
666,LFPV
667,LFBP
668,LFCE
669,LFCV
670,LFRS
671,LFQM
672,LFPT
673,LFME
674,LFBN
675,LFDY
676,LFLU
677,LFOP
678,LFOP
679,LFMT
680,EBKT
681,LFMP
683,LFLY
685,LFST
686,LFRZ
687,LFTH
688,LFPM
689,LFQQ
690,LFFE
692,LFPL
693,LFRS
694,LFBP
696,LFST
697,LFRB
700,LFOP
701,LFSD
702,LFBZ
703,LFTW
704,LFPX
705,LFAY
706,LFPV
708,LFXU
710,LFCL
712,LFTH
713,LFDW
714,LFLG
715,LFLO
716,LFAK
717,LFBL
718,LFQB
719,LFAT
720,LFBU
721,LFJR
723,LFRV
724,LFML
725,LFPZ
726,LFTH
727,LFOT
728,LFDK
730,LFRK
732,LFAU
733,LFRS
734,LFOT
735,LFBN
736,LFMP
737,LFRZ
738,LFDY
739,LFDP
740,LFNL
741,LFRM
742,LFPO
744,LFLU
745,LFQL
746,EBKT
748,LFBR
749,LFLY
800,LFAK
801,LFLC
802,LFFE
803,LFCV
804,LFMP
807,LFAY
808,LFMN
809,LFST
810,LFGV
812,LFPY
813,LFPT
814,LFLM
815,LFRH
816,LFDP
817,LFRS
818,LFHV
819,LFRM
820,LFCL
821,LFGB
822,LFGM
823,LFLI
824,LFQV
825,LFQA
826,LFDW
827,LFMQ
828,LFNL
829,LFRB
830,LFEX
831,LFRS
832,LFPL
833,LFDT
834,LFRD
835,LFMQ
836,LFSD
837,LFMH
838,LFAT
839,LFQL
840,LSGG
841,LFDY
842,LFOU
843,LFPE
844,LFBV
845,LFDY
846,LFPN
847,LFPY
848,LFOW
849,LFRN
850,LFQL
851,LFMQ
852,LFPB
853,LFHY
854,LFBY
855,LFBU
856,LFQL
857,LFCL
858,LFML
859,LFNR
860,LFBE
862,LFQJ
863,LFCL
864,LFPO
865,LFSM
866,LFBA
867,LFMH
868,LFMD
869,LFOJ
870,LFNP
871,LFCL
872,LFRQ
873,LFOT
875,LFOP
876,LFLH
877,LFPB
878,LFQJ
879,LFFE
881,LFPV
882,LFPB
883,LFCL
884,LFTZ
885,LFHM
886,LFPH
887,LFGO
888,LFRN
889,LFRT
890,LFBT
892,LFRB
895,LFLG
896,LFLY
897,EBKT
898,LFNP
899,LFPV
2501,LFRH
2502,LFDY
2503,LFMZ
2504,LFOV
2505,LFSH
2507,LFQM
2508,LFLP
2509,LFLI
2512,LFMN
2513,LFML
2514,LFPB
2515,LFST
2516,LFOB
2517,LFPE
2518,LFMN
