Alpha_0.1,Alpha_1,Alpha_10,Features
0.6602082548792714,0.6585633085610506,0.6263756888373403,Score
-58.94434437293421,34.92230615970152,710.9624231823793,Intercept
185.31577114076225,178.2321719424432,105.92146314988804,Open Hours
101.57061603775439,89.9928558115677,0.0,1 Competitor
123.15350268369457,109.53141355156012,0.0,2 Competitors
188.8057832871342,171.64089035745903,15.39906077975162,3 Competitors
523.6759805188252,295.31195192742797,0.0,Holiday_Event_Good Friday
589.4282048847973,150.82857315437914,0.0,Holiday_Event_Memorial Day
-526.5173068803468,-419.18014130862207,-0.0,Holiday_Event_Mother's Day
-305.7935826542344,-405.8599335451362,-222.58941988185634,Holiday_Event_None
0.0,0.0,0.0,Holiday_Event_President's Day
-0.0,-0.0,0.0,Holiday_Event_St. Patrick's Day
79.80839463776468,203.72705677515728,237.64429066242937,Holiday_Period_Easter
-224.6033271054845,-9.722743793040602,0.0,Holiday_Period_Memorial Day
-11.258412731738868,-0.0,-0.0,Holiday_Period_Mother's Day
-102.5391483680233,-27.82067081578958,-0.0,Holiday_Period_None
98.2783307810187,0.0,0.0,Holiday_Period_President's Day
117.07920727866055,24.61210135704688,-0.0,Holiday_Period_Valentine's Day
0.0,0.0,0.0,Promo_B3G3F
0.0,0.0,0.0,Sales_Promo_None
-1029.9457841165784,-1030.9570625510996,-1036.2751964815143,Cluster_0
1058.9782138349199,1008.472638573795,524.6001171459415,Cluster_1
-373.74622665001783,-368.5165916995778,-317.08667056715365,Cluster_2
547.888671947754,543.4294564368502,498.42440664849596,Cluster_3
-135.19299827221394,-117.23686691205857,-34.632742196597746,Day_of_Week_0
-177.4937833108091,-172.2965579536792,-115.89069185908872,Day_of_Week_1
-130.47646603361085,-125.13765450913665,-67.02524275889317,Day_of_Week_2
-0.0,-0.0,-0.0,Day_of_Week_3
545.3618568594691,541.6686308747226,505.7796243040653,Day_of_Week_4
1715.7147821700441,1707.457095167324,1641.7065857256782,Day_of_Week_5
1333.1492430194307,1279.614284777443,882.3952605544695,Day_of_Week_6
-410.81736187192286,-236.6367432656655,-0.0,Week_Num_5
-288.5753978226763,-204.15409485306,-34.37856963689986,Week_Num_6
-255.311211619553,-48.154044348742325,-0.0,Week_Num_7
255.71523444449562,265.101340720343,73.08699074738554,Week_Num_8
120.4585426361376,119.5274683628894,0.0,Week_Num_9
76.80404942579723,75.89659713890924,0.0,Week_Num_10
225.3362750893577,209.76824022946076,13.397572324264162,Week_Num_11
99.99576873692536,91.92638265488704,0.0,Week_Num_12
200.96083526558905,165.54049734667257,0.0,Week_Num_13
262.3115433389529,261.5189524054059,40.53388880211892,Week_Num_14
-88.63785156737579,-51.83586055607131,-0.0,Week_Num_15
-35.81474476078389,-0.0,-0.0,Week_Num_16
-100.54792132741834,-63.695316014546556,-0.0,Week_Num_17
-120.33642125210272,-83.82323802379841,-0.0,Week_Num_18
-118.64564583455225,-83.10150163285469,-0.0,Week_Num_19
-95.77896224977029,-58.92007608193492,-0.0,Week_Num_20
-44.01247826612289,-66.69927003649937,-0.0,Week_Num_21
-78.2300798754498,-13.156915054340631,-0.0,Week_Num_22
5.749411288845928,4.961149244792429,-0.0,Week_Num_23
0.04602439453986228,0.0,-0.0,Week_Num_24
46.96797408712107,46.239770163354734,0.0,Week_Num_25
115.62276365256142,107.70590350955564,0.0,Week_Num_26
