Alpha_0.1,Alpha_1,Alpha_10,Features
0.6602269615349322,0.660225961321419,0.6601827706551537,Score
-1680.6377987486019,-1670.112441584591,-1582.4045381977728,Intercept
186.1013328425082,186.03817379313028,185.40988248584625,Open Hours
102.8547656941999,102.83590026829104,102.64907591905082,1 Competitor
124.67254109677907,124.67941242298731,124.7419270041853,2 Competitors
190.71925733926253,190.7299337571058,190.8282097452503,3 Competitors
553.6173979485023,553.0531718746014,546.8543071508643,Holiday_Event_Good Friday
643.2090090115437,641.1908367286677,621.6421308307226,Holiday_Event_Memorial Day
-527.1248571654727,-525.8585877033115,-514.9118535266374,Holiday_Event_Mother's Day
-289.7633218350893,-289.85291196531506,-291.2061586203211,Holiday_Event_None
76.97615779677116,77.94597778228159,86.13299877240873,Holiday_Period_Easter
-238.12770360147488,-237.63174351105087,-232.57823167739383,Holiday_Period_Memorial Day
-10.974347736684729,-11.404358320595927,-15.015140930761742,Holiday_Period_Mother's Day
-100.45775728108615,-100.87662316636009,-104.20563192058572,Holiday_Period_None
129.42406743430544,129.1326487768105,126.04196288772947,Holiday_Period_President's Day
143.159583383871,142.83409843628576,139.6240428685213,Holiday_Period_Valentine's Day
2094.3645591162676,2093.6831350535645,2086.88539198001,Cluster_1
655.5030218950291,655.4458087186488,654.8727727153504,Cluster_2
1578.2040872686778,1578.0693228008797,1576.7339559794696,Cluster_3
-40.667893146730734,-40.884361773265454,-43.049459206717096,Day_of_Week_1
6.334098271482882,6.118472025006325,3.9620307765424725,Day_of_Week_2
137.16843772947382,136.94842757382244,134.75846044858488,Day_of_Week_3
683.4060286903209,683.1438331553641,680.5813601541946,Day_of_Week_4
1854.2217432635532,1853.8612859815842,1850.329436796705,Day_of_Week_5
1476.0250538612192,1474.843178669473,1464.1739297765394,Day_of_Week_6
129.32129781772457,120.32063932729866,47.579345887041896,Week_Num_6
142.51909168461077,133.42942192604679,60.5059576282412,Week_Num_7
682.7933013201265,673.7140869040503,600.0376348473546,Week_Num_8
549.3780027417549,540.3461704025243,467.0625432894599,Week_Num_9
505.72126858602235,496.69709813598377,423.48654049809164,Week_Num_10
656.5944760523686,647.5355404184859,573.9136958310157,Week_Num_11
529.627719601888,520.4020775786813,445.5170774507841,Week_Num_12
633.1572974456756,622.7088779469552,537.8077858779184,Week_Num_13
691.2103466651598,682.1594487470354,608.6860391203356,Week_Num_14
336.0901344021462,327.0887111013477,254.10373401077604,Week_Num_15
388.9364689568494,379.92807796868124,306.8739638800366,Week_Num_16
324.17631567215614,315.17613743150264,242.20543087827053,Week_Num_17
304.424595142343,295.4255879734823,222.46809494243843,Week_Num_18
309.13511115303345,299.9546387276149,225.43333125753455,Week_Num_19
328.94381148078645,319.94318745206726,246.96709228042934,Week_Num_20
387.3400099915665,377.94495376590316,301.3545266564257,Week_Num_21
343.3432606747252,334.4852702884553,262.8879642578876,Week_Num_22
434.65357528515636,425.63835993216827,352.51901396703755,Week_Num_23
428.9567310426711,419.94259428282385,346.8350537040857,Week_Num_24
475.865613270356,466.8451841261029,393.67180688665735,Week_Num_25
545.2514873856071,536.1076733763707,461.8792651126967,Week_Num_26
