Alpha_0.1,Alpha_1,Alpha_10,Features
0.6623932894351567,0.6607569621073945,0.6282465199936147,Score
-81.9886941562122,17.930531534528654,737.9898546506236,Intercept
185.52154344264864,177.6671773582964,99.51451040560981,Open Hours
43.72608983828961,43.248089187189414,30.154750499784317,Justice (<1)
45.84675305326359,40.85359382400245,0.0,Piercing Pagoda (<1)
94.92887580733135,92.56454475581376,70.43983757365666,H&M (<1)
293.2233295680459,266.5652481059372,0.0,Zara (<1)
43.156104314188184,37.55366051887718,0.0,1 Competitor
0.7449808179671977,0.0,0.0,2 Competitors
0.0,0.0,0.0,3 Competitors
525.0507590249861,296.2448513768002,0.0,Holiday_Event_Good Friday
590.6105011000291,151.82499879724878,0.0,Holiday_Event_Memorial Day
-525.7871944909044,-418.9433082584045,-0.0,Holiday_Event_Mother's Day
-304.1352539293267,-404.5367551164576,-222.55088548418146,Holiday_Event_None
0.0,0.0,0.0,Holiday_Event_President's Day
-0.0,-0.0,0.0,Holiday_Event_St. Patrick's Day
79.84571020982035,203.44440079947424,237.66064867121264,Holiday_Period_Easter
-225.59198205818473,-10.955887892463416,0.0,Holiday_Period_Memorial Day
-11.198714850498522,-0.0,-0.0,Holiday_Period_Mother's Day
-102.99420341952454,-28.553516178274947,-0.0,Holiday_Period_None
98.96111027994624,0.0,0.0,Holiday_Period_President's Day
117.56826518884378,24.553104606488382,-0.0,Holiday_Period_Valentine's Day
0.0,0.0,0.0,Promo_B3G3F
0.0,0.0,0.0,Sales_Promo_None
-1005.996457546773,-1006.5900580874293,-1011.8933454307706,Cluster_0
1078.2152276738896,1030.9859462774552,568.823079391473,Cluster_1
-359.84883608332314,-355.81090203004743,-316.13716463544307,Cluster_2
522.2485839880113,519.5453402680652,492.81660630581433,Cluster_3
-135.18286292616165,-117.31590673448201,-35.36058507810825,Day_of_Week_0
-177.47001098585125,-172.3595683422637,-116.55723625371046,Day_of_Week_1
-130.22268506816087,-124.95463656556385,-67.3823520393761,Day_of_Week_2
-0.0,-0.0,-0.0,Day_of_Week_3
545.509195263884,541.8326730099465,506.1239756007167,Day_of_Week_4
1715.9402325383433,1707.5055332870786,1640.49655886303,Day_of_Week_5
1333.7350709028035,1277.0309729462763,855.7910528558812,Day_of_Week_6
-409.7003077410165,-235.67427548935916,-0.0,Week_Num_5
-288.0554595183309,-203.73346292578208,-34.32852900920164,Week_Num_6
-255.84322152550612,-48.49825599711094,-0.0,Week_Num_7
256.26375599999625,265.50492171066725,73.05187942399596,Week_Num_8
120.74517714130145,119.67635734310893,0.0,Week_Num_9
77.01955464923613,76.00124955062707,0.0,Week_Num_10
225.70525254700482,209.954676988714,13.2693308380333,Week_Num_11
100.21389373776735,92.05225895120805,0.0,Week_Num_12
200.1389022973183,164.70561318019702,0.0,Week_Num_13
262.7014072504044,261.75938437714564,40.46343796825135,Week_Num_14
-88.25978726069275,-51.59807477247836,-0.0,Week_Num_15
-35.56486848533916,-0.0,-0.0,Week_Num_16
-100.18995211482736,-63.50834496936084,-0.0,Week_Num_17
-120.47598740497673,-84.0559904117711,-0.0,Week_Num_18
-118.53766058890771,-83.15746504919944,-0.0,Week_Num_19
-95.72160960171877,-58.96511388396227,-0.0,Week_Num_20
-42.85502306892757,-65.78292212651805,-0.0,Week_Num_21
-77.91573877580724,-13.000057705484748,-0.0,Week_Num_22
5.934033801732471,5.001775419945781,-0.0,Week_Num_23
0.046003047568204766,0.0,-0.0,Week_Num_24
47.238412703043785,46.368341590979945,0.0,Week_Num_25
115.79836933375029,107.78660441786816,0.0,Week_Num_26
