Alpha_0.1,Alpha_1,Alpha_10,Features
0.6646341199512054,0.6646285535607692,0.6645334564240153,Score
-1906.5754588632806,-1894.5828193987816,-1794.317479550721,Intercept
180.67895930231128,180.5842169581369,179.65703581519116,Open Hours
7.710556399311276,7.643524099791911,6.980025496352471,Justice (<1)
-9.060241645291594,-8.964754566967754,-8.0178899567934,Justice (<5)
116.65846415023175,116.66592989548506,116.73091975320554,Justice (<10)
31.892793868854383,31.79544769132797,30.82554873630963,Piercing Pagoda (<1)
4.162084392489029,4.275553514330263,5.405567490339331,Piercing Pagoda (<5)
5.194105313796147,5.20030390519399,5.250117354168776,Piercing Pagoda (<10)
71.26019707511684,71.19020939944853,70.49046464478579,H&M (<1)
33.02336594210034,33.13917353825458,34.28006299234248,H&M (<5)
-34.92860484550468,-34.92089873739189,-34.830158612236474,H&M (<10)
174.83463686084832,174.84381267135868,174.92853892911484,Zara (<1)
87.74044717439521,87.7459283817991,87.78321976364809,Zara (<5)
44.57842620090377,44.562582588091196,44.418842638451956,Zara (<10)
29.374682714306687,29.345651505579987,29.06100508321027,1 Competitor
13.85916557690541,13.853860839582682,13.803294206013568,3 Competitors
-930.154441783515,-923.9125337610841,-866.2675925036231,Holiday_Event_Easter
521.2694678034993,520.421968629009,512.2967640070165,Holiday_Event_Good Friday
607.7760124491339,605.9873031537229,589.1175165804418,Holiday_Event_Memorial Day
-407.80677303392446,-407.1365217858663,-401.17854247206395,Holiday_Event_Mother's Day
-182.45086710875194,-183.1036272943455,-189.0728548598732,Holiday_Event_None
456.17374981999563,453.74000468117265,431.5656912653468,Holiday_Event_President's Day
122.89385763707293,122.12069290913733,115.2019790571006,Holiday_Event_St. Patrick's Day
-187.70100591748502,-188.11728654335346,-191.6629610755799,Holiday_Event_Valentine's Day
201.59658651569237,201.5184875290777,200.77074794318966,Holiday_Period_Easter
23.728388101489532,23.955551528976212,25.921365410530726,Holiday_Period_Memorial Day
25.547029248175264,25.47072534865833,24.631035275766365,Holiday_Period_Mother's Day
-146.464433788364,-145.2903253175143,-135.03566836207287,Holiday_Period_President's Day
-28.955804360411445,-28.710801014035603,-26.595096443290704,Holiday_Period_St. Patrick's Day
-87.09838881928331,-86.24097986173183,-78.98215647314575,Holiday_Period_Valentine's Day
2026.4290106673004,2025.448993048627,2015.7304245353714,Cluster_1
629.912208934904,629.8299100563788,629.0085134893698,Cluster_2
1509.4673267801668,1509.3079502410653,1507.7316495864357,Cluster_3
-35.002385744947574,-35.32214186423638,-38.40568013117686,Day_of_Week_1
6.066323761280064,5.7942349993308015,3.1115065368560173,Day_of_Week_2
135.54968582382813,135.2886694726056,132.71848311036052,Day_of_Week_3
686.9987179049873,686.725694590373,684.0444448386311,Day_of_Week_4
1860.7459574207155,1860.3944214278324,1856.911608352115,Day_of_Week_5
1489.3962322794036,1487.9882645127504,1475.167724117266,Day_of_Week_6
238.38414212832274,228.28184591854009,146.24930678237502,Week_Num_6
501.8119064230793,490.8588140015269,401.47319790763015,Week_Num_7
735.5948437595483,725.4625026116446,643.1428337710937,Week_Num_8
576.1487591355235,566.1200632395639,484.638413102735,Week_Num_9
532.6522769414203,522.6320297570227,441.2311086549908,Week_Num_10
702.028653080431,691.825133563173,608.8001416359016,Week_Num_11
590.0311856173328,579.9298544287205,497.81855222599245,Week_Num_12
778.8801620023198,768.6258876132055,685.1842529885832,Week_Num_13
631.8114036797753,621.8095540962067,540.5820559306886,Week_Num_14
363.33725649378636,353.33939211298343,272.16103719685447,Week_Num_15
415.57878262994143,405.5738736406076,324.3255208031217,Week_Num_16
351.08838106646283,341.0911833969259,259.92082205691275,Week_Num_17
331.038880167068,321.04329529318346,239.890950327412,Week_Num_18
358.75069235313185,348.6140555487357,266.2784675497455,Week_Num_19
344.5748487880614,334.61162803567527,253.81287429581593,Week_Num_20
346.245630082181,336.15554870423597,254.18567214288714,Week_Num_21
357.44607045972583,347.48117770385954,266.7425994920746,Week_Num_22
461.3390881110817,451.3271213681105,370.0109253868163,Week_Num_23
455.6046457532659,445.59446321379727,364.29701318615264,Week_Num_24
502.4112940345596,492.39405174960086,411.02337928529096,Week_Num_25
576.4202768514972,566.2693972305899,483.7459084789062,Week_Num_26
