Alpha_0.1,Alpha_1,Alpha_10,Features
0.6646182698690818,0.661941616506933,0.628080130303746,Score
-346.7795993525567,-226.60612711729982,662.3880040651616,Intercept
179.48863326515234,170.1978109469613,96.12094302771202,Open Hours
115.72005515065383,106.52082107221081,38.03554336559435,justice_min0_max1
106.51226663101377,95.40715275405817,22.157521871213426,justice_min1_max5
114.80715746400789,95.87001986962524,0.0,justice_min5_max10
40.83018769397931,38.27490457394662,0.0,pagoda_min0_max1
10.069295471685814,7.4098864058819105,11.919888273270992,pagoda_min1_max5
4.248177110149717,0.0,0.0,pagoda_min5_max10
71.78587107749507,82.15648174259925,79.40758958055201,hm_min0_max1
0.0,12.86913448604277,44.827845855123144,hm_min1_max5
-33.27922709432832,-12.349620137692288,0.0,hm_min5_max10
42.231185927627465,0.0,0.0,miniso_min0_max1
-42.29482095010696,-0.0,0.0,miniso_min1_max5
-47.80056796992751,-0.0,0.0,miniso_min5_max10
307.7733454796443,270.8578026692518,0.0,zara_min0_max1
132.9781211889585,88.70027341367057,0.0,zara_min1_max5
43.352912196637526,25.22594046382578,0.0,zara_min5_max10
29.401957332097655,24.11364722386218,0.0,1 Competitor
-0.0,-0.0,0.0,2 Competitors
12.045338940488234,0.19334917828887216,0.0,3 Competitors
-786.7753798473577,-0.0,-0.0,Holiday_Event_Easter
546.2993132521211,416.8286739054882,0.0,Holiday_Event_Good Friday
623.649621601075,400.5980404176878,0.0,Holiday_Event_Memorial Day
-345.12630317769054,-186.10187818695385,-0.0,Holiday_Event_Mother's Day
-146.81258522889868,-174.38177105570082,-132.2593741316585,Holiday_Event_None
440.42332498397394,161.4308403258923,0.0,Holiday_Event_President's Day
138.8573775203987,0.0,0.0,Holiday_Event_St. Patrick's Day
-132.0790858663291,-21.71516274196861,-0.0,Holiday_Event_Valentine's Day
199.7018321391961,189.48192188001724,185.13372334919637,Holiday_Period_Easter
17.766232967852286,0.0,-0.0,Holiday_Period_Memorial Day
13.543069153812013,-0.2422188977498271,-0.0,Holiday_Period_Mother's Day
0.0,0.0,-0.0,Holiday_Period_None
-106.31207893669489,-0.0,0.0,Holiday_Period_President's Day
-16.46903848733725,0.0,0.0,Holiday_Period_St. Patrick's Day
-53.792437090262396,-26.99328121407187,-0.0,Holiday_Period_Valentine's Day
0.0,0.0,0.0,Promo_B3G3F
0.0,0.0,0.0,Sales_Promo_None
-986.691147699445,-989.1406803430035,-1003.4149316812473,Cluster_0
1031.7310366997856,976.242901341024,508.7554008103736,Cluster_1
-357.2074722234288,-353.2637100678778,-313.73379538947927,Cluster_2
521.8812703837995,520.0822407607287,494.0794633612434,Cluster_3
-133.5464933324094,-112.34104163393525,-27.08500277513746,Day_of_Week_0
-171.96472671807356,-171.8475349019719,-117.01159971478116,Day_of_Week_1
-129.93649546100164,-131.1735042398199,-73.7268216262387,Day_of_Week_2
-0.0,-0.0,-0.0,Day_of_Week_3
551.259739731998,549.7514219914608,510.5750094899871,Day_of_Week_4
1725.1478430502123,1722.0008183617836,1644.130938051239,Day_of_Week_5
1342.669026415387,1265.691329345403,859.7920823180235,Day_of_Week_6
-439.18824217815626,-248.30765678157817,-0.0,Week_Num_5
-222.11900930814562,-184.72765129097985,-35.59902123429778,Week_Num_6
4.679861059956112,-7.960259061809042,-0.0,Week_Num_7
271.30247116018165,279.6976183241466,84.69476662686168,Week_Num_8
116.20858975505752,119.64155162029006,0.0,Week_Num_9
72.52771140686663,76.05766834912751,0.0,Week_Num_10
235.88381770008556,243.55622822560622,25.19710619348727,Week_Num_11
126.38469372128732,124.87963187179605,0.0,Week_Num_12
317.81985778076705,315.57470986314127,132.01654288544498,Week_Num_13
172.5860808844935,180.47847460280903,0.0,Week_Num_14
-92.69198747519123,-51.546095491695674,-0.0,Week_Num_15
-40.34395104735579,-0.0,-0.0,Week_Num_16
-104.70058890434551,-63.52337625955504,-0.0,Week_Num_17
-124.91866006194948,-83.99934468480342,-0.0,Week_Num_18
-93.94092920246266,-70.64229791239796,-0.0,Week_Num_19
-106.15884056406209,-58.95573177102466,-0.0,Week_Num_20
-106.98679829738968,-58.24152861419813,-0.0,Week_Num_21
-92.13916709347322,-12.887732289839201,-0.0,Week_Num_22
1.4120629751103329,4.930006093969521,-0.0,Week_Num_23
-0.07580855579182312,0.0,-0.0,Week_Num_24
42.397855847018846,46.131918446940524,0.0,Week_Num_25
115.09975475499155,109.59610930733179,0.0,Week_Num_26
