Alpha_0.1,Alpha_1,Alpha_10,Features
0.6647253785993448,0.6647198993730778,0.6646254286348339,Score
-1904.9792745775092,-1893.0103307399374,-1792.9963498250315,Intercept
180.5333298312964,180.44211156618218,179.55008703209958,Open Hours
116.54626120338271,116.58211305343909,116.92962263988314,justice_min0_max1
107.36741678615454,107.4821405998611,108.61183825148527,justice_min1_max5
116.46121432868557,116.4820803583912,116.68037057552586,justice_min5_max10
41.15693020785964,41.18834032055496,41.4882460320108,pagoda_min0_max1
10.355006443272682,10.516247318690066,12.112006010708464,pagoda_min1_max5
5.011471321543314,5.047626354205166,5.394913066817804,pagoda_min5_max10
71.0235618766862,71.04257137851745,71.23081391510989,hm_min0_max1
-35.315423601627124,-35.34765778880935,-35.65542049334236,hm_min5_max10
62.87603790682789,62.81260125307263,62.22170950671646,miniso_min0_max1
-66.18100444479987,-66.04138047323873,-64.6918539531983,miniso_min1_max5
-61.39001716959869,-61.3009840315048,-60.46459354413967,miniso_min5_max10
313.0609528962334,313.0212302608408,312.6211605367297,zara_min0_max1
138.11291385456937,138.05857869306735,137.51954143521215,zara_min1_max5
45.449182646223626,45.42571180226564,45.2076523753882,zara_min5_max10
29.939081970706905,29.914794155680998,29.677275839161837,1 Competitor
12.971014872768764,12.980294427899942,13.07377669282847,3 Competitors
-930.944821071242,-924.6981704872688,-867.0099152107716,Holiday_Event_Easter
521.4715088245644,520.6237312756972,512.4960225402833,Holiday_Event_Good Friday
607.9491748477694,606.1596318862016,589.2820856899779,Holiday_Event_Memorial Day
-408.0533058100991,-407.3835796016442,-401.431041687407,Holiday_Event_Mother's Day
-182.3031463976256,-182.9566348657741,-188.93260864372846,Holiday_Event_None
456.47295978744484,454.0389323511892,431.86312374283835,Holiday_Event_President's Day
123.04994661735734,122.27504110162259,115.33988752608619,Holiday_Event_St. Patrick's Day
-187.64231692530237,-188.05895167201146,-191.6075539584107,Holiday_Event_Valentine's Day
201.50602258519893,201.42815776851236,200.68266475161818,Holiday_Period_Easter
23.837266022123703,24.064773351619923,26.033791701131296,Holiday_Period_Memorial Day
25.365775064502248,25.289605846679382,24.451181193756018,Holiday_Period_Mother's Day
-146.21614033576972,-145.04223481079063,-134.7903584801759,Holiday_Period_President's Day
-28.845695348847315,-28.600545342937725,-26.48360307061253,Holiday_Period_St. Patrick's Day
-86.88311527426941,-86.02595739940148,-78.77043968735993,Holiday_Period_Valentine's Day
2023.2744589567274,2022.3590207102548,2013.2799853456818,Cluster_1
628.6104762066745,628.5384990268947,627.8196368660509,Cluster_2
1508.5848811937797,1508.440289279427,1507.0119577107287,Cluster_3
-35.01831391483596,-35.337860020956235,-38.419357018227025,Day_of_Week_1
6.011199442472333,5.739084355435358,3.0559838322374118,Day_of_Week_2
135.55075767407556,135.28943816686478,132.7161458550845,Day_of_Week_3
687.0300627076837,686.7565295241283,684.0701400495451,Day_of_Week_4
1860.6996248493476,1860.3485459308101,1856.8701934219914,Day_of_Week_5
1488.7383380337094,1487.3445226740882,1474.6658186616723,Day_of_Week_6
238.77183990973515,228.6615761494274,146.564672564536,Week_Num_6
502.014400605961,491.05325654250163,401.6030929610809,Week_Num_7
735.8307140550309,725.6904374430515,643.3066308820579,Week_Num_8
576.633254673707,566.5964044156009,485.0483850193986,Week_Num_9
532.9332238347475,522.9048214786997,441.4375516015819,Week_Num_10
702.3408902532213,692.1294698527638,609.0407540410794,Week_Num_11
590.3580440838721,580.2487327095361,498.07280562748684,Week_Num_12
779.2631577574251,769.0005819895555,685.4914031502407,Week_Num_13
632.2030739055466,622.1931499112209,540.9000633022237,Week_Num_14
363.5333098160384,353.52766033905414,272.2865884600398,Week_Num_15
415.87749481860124,405.86482722472886,324.55400525510623,Week_Num_16
351.5274860130748,341.5220609489992,260.2846136429345,Week_Num_17
331.32900206188384,321.3254036107723,240.10802949931525,Week_Num_18
359.34261440483255,349.19723050676384,266.78954401741294,Week_Num_19
344.97974146585426,335.0087641613938,254.14763070683134,Week_Num_20
346.66367348441725,336.56489973917223,254.52339068621313,Week_Num_21
357.77484415315155,347.8016821547502,266.9957182821586,Week_Num_22
461.82959112381576,451.8095222375118,370.42752025421515,Week_Num_23
456.14184617265124,446.12364954350335,364.76124627758304,Week_Num_24
502.7763145535098,492.7511556409257,411.316440927059,Week_Num_25
576.7189330540681,566.560337552907,483.9749124918731,Week_Num_26
