Alpha_0.1,Alpha_1,Alpha_10,Features
0.658148027,0.658148627,0.658152251,Score
395.0278461,395.4317567,399.452484,Intercept
198.7738639,198.7246836,198.2349253,Open Hours
11.70605328,11.69599807,11.59668117,Justice_only
-14.29829129,-14.3105212,-14.43158415,PP_only
128.9130893,128.883636,128.5910663,HM_only
498.3934059,497.043872,483.9376478,Zara_only
494.2544983,493.749836,488.7827659,Holiday_Event_Good Friday
579.9315437,578.7165896,566.8473448,Holiday_Event_Memorial Day
-588.433481,-587.4857111,-578.1561173,Holiday_Event_Mother's Day
-351.3571183,-351.3369091,-351.1131554,Holiday_Event_None
-81.36675444,-80.79105926,-75.27239182,Holiday_Event_President's Day
-53.02868821,-52.85274606,-51.08844621,Holiday_Event_St. Patrick's Day
74.28925343,74.63980187,78.02469175,Holiday_Period_Easter
-240.9824587,-240.4169048,-234.9025343,Holiday_Period_Memorial Day
-12.48140829,-12.66570857,-14.47650394,Holiday_Period_Mother's Day
-103.5901075,-103.5499537,-103.1778646,Holiday_Period_None
136.3265153,135.8739462,131.5141018,Holiday_Period_President's Day
146.4382058,146.118819,143.0181093,Holiday_Period_Valentine's Day
0,0,0,Promo_B3G3F
0,0,0,Sales_Promo_None
-1086.971005,-1086.892703,-1086.110338,Cluster_0
953.0767921,952.8580042,950.6772375,Cluster_1
-394.562482,-394.4763896,-393.6181654,Cluster_2
528.4566939,528.511088,529.0512662,Cluster_3
-594.2793525,-594.1922416,-593.3253196,Day_of_Week_0
-635.5343684,-635.4753193,-634.8850905,Day_of_Week_1
-589.163407,-589.1047501,-588.5184406,Day_of_Week_2
-459.3673074,-459.3051672,-458.6875786,Day_of_Week_3
86.51268513,86.56291224,87.0609468,Day_of_Week_4
1259.526326,1259.498246,1259.211575,Day_of_Week_5
932.305422,932.0163201,929.1439076,Day_of_Week_6
-416.416243,-415.9315577,-411.140332,Week_Num_5
-286.6205967,-286.5021872,-285.3492763,Week_Num_6
-280.5216395,-280.0710144,-275.7300875,Week_Num_7
270.0105227,269.9430053,269.2833063,Week_Num_8
135.3119951,135.2709177,134.8662704,Week_Num_9
91.23739187,91.20216117,90.85594557,Week_Num_10
240.8210398,240.7437018,239.9794204,Week_Num_11
114.880601,114.7988103,114.0003813,Week_Num_12
217.424864,217.1282253,214.2553942,Week_Num_13
277.1539878,277.0946605,276.5077217,Week_Num_14
-78.20282199,-78.21484166,-78.329431,Week_Num_15
-25.52252268,-25.54136087,-25.7241036,Week_Num_16
-89.12767876,-89.13907359,-89.24725178,Week_Num_17
-110.4177789,-110.4249852,-110.4916925,Week_Num_18
-106.1714166,-106.209897,-106.5920174,Week_Num_19
-85.19920098,-85.2104185,-85.31699558,Week_Num_20
-26.83083808,-27.07251977,-29.43303786,Week_Num_21
-70.52054081,-70.43277681,-69.57180662,Week_Num_22
20.85694353,20.83211283,20.58950629,Week_Num_23
15.24062187,15.21652723,14.98130893,Week_Num_24
61.71810915,61.68787443,61.391337,Week_Num_25
130.8952013,130.832636,130.21544,Week_Num_26
