Alpha_0.1,Alpha_1,Alpha_10,Features
0.6638425829681552,0.6619668154630114,0.6292983299189582,Score
-75.12978738769175,34.01288820125319,796.4431943047919,Intercept
178.80573818136835,169.45592083878628,79.86110317291056,Open Hours
-24.878178418613416,-8.599562837397501,-0.0,Justice (<1)
-14.455095628558972,-0.0,0.0,Justice (<5)
117.51641953624464,93.19626970486267,0.0,Justice (<10)
-12.722547668883568,-0.0,-0.0,Piercing Pagoda (<1)
-0.0,-0.0,-0.0,Piercing Pagoda (<5)
3.0799297510258574,0.0,-0.0,Piercing Pagoda (<10)
48.70246398977329,0.0,-0.0,Miniso (<1)
0.0,-0.0,-0.0,Miniso (<5)
-46.75735677870327,-0.0,-0.0,Miniso (<10)
20.67512494650911,24.882858401665708,0.0,H&M (<1)
24.54075209587274,6.072007784383469,0.0,H&M (<5)
-29.254108630059836,-0.2547985872328617,0.0,H&M (<10)
135.9483865802334,123.74989195088679,0.0,Zara (<1)
81.64065554664467,72.91397381323323,0.0,Zara (<5)
47.315378570095795,42.55529086697263,0.0,Zara (<10)
43.03226609749126,27.558374044563294,0.0,Competitor Density (<1)
7.082878697896398,13.706255924540642,65.16954245569248,Competitor Density (<5)
0.26493072066516143,0.0,32.41008357193353,Competitor Density (<10)
527.6659409359291,297.965582000964,0.0,Holiday_Event_Good Friday
592.049905005663,152.91048766125743,0.0,Holiday_Event_Memorial Day
-523.7123903177645,-418.4762396206717,-0.0,Holiday_Event_Mother's Day
-302.0281071544741,-403.07562365815994,-221.46130776691356,Holiday_Event_None
0.0,0.0,0.0,Holiday_Event_President's Day
-0.0,-0.0,0.0,Holiday_Event_St. Patrick's Day
78.63827530531934,202.42502405011814,237.92940051340676,Holiday_Period_Easter
-225.63574259304295,-10.669010756384525,0.0,Holiday_Period_Memorial Day
-12.552459809037133,-0.0,-0.0,Holiday_Period_Mother's Day
-103.39353527043657,-28.66700293381364,-0.0,Holiday_Period_None
100.1343017155759,0.0,0.0,Holiday_Period_President's Day
117.46987343093814,23.958238030990312,-0.0,Holiday_Period_Valentine's Day
0.0,0.0,0.0,Promo_B3G3F
0.0,0.0,0.0,Sales_Promo_None
-985.1843631602725,-982.9042318884591,-948.3099005406856,Cluster_0
1020.7676591609314,964.5205526936161,435.148698068514,Cluster_1
-356.4684808789664,-352.11263868918235,-305.8748658769291,Cluster_2
521.5950171885635,519.1551828722339,487.17237151036414,Cluster_3
-135.83224496172494,-118.13117228877142,-37.563040142812234,Day_of_Week_0
-177.8994888509576,-172.9351857832946,-118.49674564458017,Day_of_Week_1
-130.43475129570714,-125.27550567038207,-68.45339535494152,Day_of_Week_2
-0.0,-0.0,-0.0,Day_of_Week_3
545.9506951790768,542.2709070293593,507.03268693376134,Day_of_Week_4
1714.9484539052019,1706.1354798243742,1636.737736325609,Day_of_Week_5
1305.6774152956575,1242.9072940155447,774.1407958732193,Day_of_Week_6
-408.66033905774964,-234.56852836409487,-0.0,Week_Num_5
-288.2010679002459,-203.60988293426033,-34.69571457991943,Week_Num_6
-256.817938839998,-48.19474076823393,-0.0,Week_Num_7
257.07110481568765,266.58573440485975,74.1976950681381,Week_Num_8
120.44179851054533,119.55029836930319,0.0,Week_Num_9
77.09491526109476,76.25695268159146,0.0,Week_Num_10
226.1178022900741,210.4451369323707,13.896628294506456,Week_Num_11
100.47993427946416,92.50005194086101,0.0,Week_Num_12
200.6437695492418,165.59932248495338,0.0,Week_Num_13
263.1132115220983,262.28193854715954,40.73763059599135,Week_Num_14
-87.96805412887724,-51.14118868534325,-0.0,Week_Num_15
-35.86580552354957,-0.0,-0.0,Week_Num_16
-100.21150648171681,-63.54387477729894,-0.0,Week_Num_17
-120.59743861173439,-84.00451765417642,-0.0,Week_Num_18
-117.56886703407379,-82.33980005257524,-0.0,Week_Num_19
-95.76593079929346,-58.958240678584744,-0.0,Week_Num_20
-43.03699846810306,-65.8589295498578,-0.0,Week_Num_21
-77.65385583135111,-12.70599701260633,-0.0,Week_Num_22
5.818167203437457,4.928782412295317,-0.0,Week_Num_23
0.0484207279098486,0.0,-0.0,Week_Num_24
46.811886063214985,46.16684783341647,0.0,Week_Num_25
115.20467752854745,107.39683880501939,0.0,Week_Num_26
