Alpha_0.1,Alpha_1,Alpha_10,Features
0.6627633768979241,0.662763477038852,0.6627624744462395,Score
451.22706927859974,451.5797213733024,455.09454043227265,Intercept
180.93841460755394,180.88833398228573,180.3892860312938,Open Hours
-29.395509140484236,-29.393631296155473,-29.37507665575163,Justice (<1)
-58.050417894399274,-58.05246362536875,-58.073135054219954,Piercing Pagoda (<1)
-7.708497074119824,-7.709388469273702,-7.717841461191903,Miniso (<1)
-22.810178058229226,-22.79993797230806,-22.69800130176375,H&M (<1)
186.4585630000803,186.41296345443774,185.95892241137992,Zara (<1)
68.49396062655752,68.45754206721449,68.09486793516565,Competitor Density (<1)
13.149364988404256,13.194301830420544,13.642128379536144,Competitor Density (<5)
28.61801449557658,28.61743127919472,28.611702127085174,Competitor Density (<10)
494.1104626962599,493.6015096395664,488.59324284912503,Holiday_Event_Good Friday
581.0506090370361,579.837509495872,567.9862342693477,Holiday_Event_Memorial Day
-588.8464037767947,-587.9031970702424,-578.6179236556139,Holiday_Event_Mother's Day
-349.1037378322361,-349.08608360394646,-348.88708127357563,Holiday_Event_None
-84.93460694197906,-84.34465027233487,-78.68844696231209,Holiday_Event_President's Day
-52.27632316761688,-52.10508818730388,-50.38602522680249,Holiday_Event_St. Patrick's Day
73.1823776745619,73.53297051078151,76.91811062295069,Holiday_Period_Easter
-241.19085867723922,-240.62297734109947,-235.08618348556905,Holiday_Period_Memorial Day
-13.913999036595438,-14.093804057598945,-15.861284274743578,Holiday_Period_Mother's Day
-104.3489420670197,-104.30461635769677,-103.89209057207546,Holiday_Period_None
139.2860746215925,138.82470492283366,134.37989487335446,Holiday_Period_President's Day
146.9853475892814,146.6637223323779,143.54155283703582,Holiday_Period_Valentine's Day
0.0,0.0,0.0,Promo_B3G3F
0.0,0.0,0.0,Sales_Promo_None
-1033.2621939382284,-1033.148892995193,-1032.0191180216364,Cluster_0
956.9518092061999,956.6583805193126,953.7346276765071,Cluster_1
-400.6598480311733,-400.55519219338674,-399.51201991559753,Cluster_2
476.97023176194733,477.0457045780531,477.79651025210484,Cluster_3
-584.5967617346229,-584.510206465818,-583.6484829210846,Day_of_Week_0
-625.5271877482517,-625.4687398686847,-624.8841807187441,Day_of_Week_1
-578.2258829008468,-578.167525763589,-577.5839648872476,Day_of_Week_2
-447.7207149805975,-447.658770578872,-447.04290973547637,Day_of_Week_3
98.91341492143927,98.96397926210005,99.46549649078452,Day_of_Week_4
1267.8430238192304,1267.8152944150697,1267.532136407069,Day_of_Week_5
869.3141065776091,869.0259687829595,866.1619053420105,Day_of_Week_6
-413.5059537335637,-413.0290616404003,-408.31422883915,Week_Num_5
-287.02597303238963,-286.9065669894758,-285.74409170673,Week_Num_6
-282.88480909794885,-282.42409778099386,-277.9856930927178,Week_Num_7
270.92731929120174,270.85904340596807,270.1921564228112,Week_Num_8
134.96593776660575,134.92450377289052,134.51641273514286,Week_Num_9
91.36095540615264,91.32581270579621,90.98048831290926,Week_Num_10
241.02408024783878,240.94678815336513,240.18294953724305,Week_Num_11
115.22695929359934,115.14480962740333,114.34291028239731,Week_Num_12
218.084629128454,217.79175329136038,214.95559145808068,Week_Num_13
277.39646948757945,277.33671740832597,276.7457174577674,Week_Num_14
-77.88898268700626,-77.9014984119289,-78.02084854532679,Week_Num_15
-25.46274109154638,-25.482375736956058,-25.672831594288674,Week_Num_16
-90.29534591904233,-90.30680725745087,-90.41563269766827,Week_Num_17
-110.42665012195414,-110.43504726108964,-110.51324615525753,Week_Num_18
-104.88124750278172,-104.91985114238068,-105.3029646333909,Week_Num_19
-85.81193317793965,-85.82364189130897,-85.93493636779498,Week_Num_20
-26.548067898204167,-26.78952654997845,-29.147870349387265,Week_Num_21
-70.83621615410993,-70.74884919604041,-69.89163690868409,Week_Num_22
20.244765894396725,20.219010679341974,19.967468942064137,Week_Num_23
14.416887739877682,14.392306589731874,14.152470231491721,Week_Num_24
61.39088610804262,61.359811248409024,61.05513075620979,Week_Num_25
130.52903017375385,130.466766985279,129.85268475511936,Week_Num_26
