,Store_Number,Transaction_Count,Sales,Quantity,Gross_Margin,ADS,UPT,AUR,Cluster
0,1106,8114,182878.91999999993,26694,142884.62000000008,22.538688686221338,3.289869361597239,6.8509372892784866,0
1,1111,5781,134371.27000000002,19068,106913.26999999992,23.243603182840342,3.2983912817851584,7.046951436962451,0
2,1126,5657,146622.94000000006,16304,119817.37999999999,25.91885098108539,2.882092982146014,8.993065505397452,0
3,1132,12785,322908.2399999995,41051,254813.22999999978,25.25680406726629,3.2108721157606572,7.866026162578245,0
4,1135,6011,157673.08,21959,125025.11999999995,26.230756945599733,3.6531359174846116,7.180339724031148,0
5,1138,10818,265700.43999999977,33819,207112.96000000002,24.56095766315398,3.1261785912368274,7.856543363198195,0
6,1808,4129,98248.50000000009,14590,77090.95999999999,23.794744490191352,3.5335432308064907,6.733961617546271,0
7,1814,11007,265897.33999999985,36055,210110.84999999995,24.157112746434073,3.2756427727809574,7.3747702121758385,0
8,1819,9185,233127.73999999987,30256,187239.76999999996,25.38135438214479,3.2940664126292867,7.7051738498149085,0
9,1824,3855,93666.41000000006,11957,74089.18000000004,24.297382619974076,3.101686121919585,7.833604583089409,0
10,1825,9772,265486.82999999955,35153,210256.99000000008,27.168116045845228,3.5973188702415064,7.552323557022148,0
11,1827,14050,347469.70999999903,46489,274368.7599999999,24.730940213523063,3.308825622775801,7.474234980317904,0
12,1873,11079,277352.0099999998,35898,221919.02000000002,25.03402924451663,3.24018413214189,7.726113153936146,0
13,1886,11148,303376.2799999997,38288,241860.18,27.21351632579832,3.434517402224614,7.9235342666109405,0
14,1908,8400,213537.0399999999,28552,170893.9399999999,25.421076190476178,3.399047619047619,7.4788820397870515,0
15,1919,10309,276140.13999999966,34418,223257.77999999985,26.786316810553853,3.3386361431758655,8.02313150095879,0
16,1929,8439,215587.4099999998,29899,168795.08000000007,25.546558833985046,3.542955326460481,7.210522425499174,0
17,1931,11881,292039.2399999996,36830,231237.98999999987,24.580358555677098,3.099907415200741,7.929384740700504,0
18,1943,10825,282504.91999999975,38934,220718.55999999994,26.09745219399536,3.596674364896074,7.25599527405352,0
19,1954,13973,411138.9699999991,56856,326889.49999999965,29.423815215057548,4.068990195376798,7.231232763472617,2
20,1957,10311,248825.20999999982,37065,192964.44000000018,24.132015323440967,3.594704684317719,6.713212194792926,0
21,1965,6800,174670.31000000003,24550,138722.09000000003,25.686810294117652,3.610294117647059,7.1148802443991865,0
22,1973,16896,443251.6899999988,55584,349060.7299999998,26.234119910037805,3.289772727272727,7.974447502878505,0
23,2501,11475,241573.07,35331,188398.22,21.052119389978213,3.078954248366013,6.837425207325012,0
24,2502,14847,298315.7200000001,40421,240501.47,20.09265979659191,2.722502862531151,7.380216224239877,0
25,2503,7987,157667.05999999997,24766,121098.36,19.74046074871666,3.100788781770377,6.3662706936929645,0
26,2504,13523,300656.18999999994,44383,235210.49999999997,22.23295052872883,3.2820380093174593,6.774129509046255,0
27,2506,8597,174997.50999999998,26144,136481.57,20.355648482028613,3.041060835175061,6.69360120869033,0
28,2509,6208,118513.69999999997,19022,91933.71000000005,19.09048002577319,3.064110824742268,6.230349069498474,0
29,2510,15586,312212.1,47845,241187.18999999997,20.03157320672398,3.069742076222251,6.525490646880551,0
30,2511,10988,217118.63999999996,29632,169292.46999999994,19.75961412449945,2.6967601019293777,7.327167926565873,0
31,2516,8268,164443.53,24936,130534.65999999999,19.88915457184325,3.015965166908563,6.59462343599615,0
32,2518,5817,108204.89000000003,16235,85130.53,18.601493897197873,2.790957538249957,6.664914690483525,0
33,2520,10669,198799.2500000001,30501,155862.16,18.633353641390954,2.85884337801106,6.5177944985410345,0
34,2523,12967,261326.33000000002,37856,209391.10999999996,20.153183465720677,2.9194108120613866,6.903168057903636,0
