Beta,Features
0.658090595306549,R2_Score
-10665771606338.895,Intercept
201.35883541680468,Open Hours
-178110093608952.3,Holiday_Event_Easter
-178110093607474.22,Holiday_Event_Good Friday
-178110093607386.6,Holiday_Event_Memorial Day
-178110093608407.06,Holiday_Event_Mother's Day
-178110093608175.34,Holiday_Event_None
-178110093607535.78,Holiday_Event_President's Day
-178110093607868.12,Holiday_Event_St. Patrick's Day
-178110093608175.75,Holiday_Event_Valentine's Day
70163645646397.96,Holiday_Period_Easter
70163645646227.53,Holiday_Period_Memorial Day
70163645646215.44,Holiday_Period_Mother's Day
70163645646191.06,Holiday_Period_None
70163645646045.5,Holiday_Period_President's Day
70163645646161.984,Holiday_Period_St. Patrick's Day
70163645646104.19,Holiday_Period_Valentine's Day
71167714530057.25,Promo_B3G3F
-692308435916389.6,Sales_Promo_None
681666687954595.8,Cluster_0
681666687956628.4,Cluster_1
681666687955293.1,Cluster_2
681666687956216.9,Cluster_3
-61123298364090.7,Day_of_Week_0
-61123298364125.56,Day_of_Week_1
-61123298364085.36,Day_of_Week_2
-61123298363957.34,Day_of_Week_3
-61123298363406.83,Day_of_Week_4
-61123298362227.96,Day_of_Week_5
-61123298362516.375,Day_of_Week_6
119209551361931.92,Week_Num_5
119209551362173.8,Week_Num_6
119209551362438.47,Week_Num_7
119209551362671.1,Week_Num_8
119209551362511.95,Week_Num_9
119209551362468.23,Week_Num_10
119209551362639.22,Week_Num_11
119209551362526.7,Week_Num_12
119209551362715.86,Week_Num_13
119209551362567.58,Week_Num_14
119209551362298.9,Week_Num_15
119209551362351.48,Week_Num_16
119209551362287.4,Week_Num_17
119209551362266.89,Week_Num_18
119209551362293.14,Week_Num_19
119209551362281.05,Week_Num_20
119209551362281.89,Week_Num_21
119209551362293.1,Week_Num_22
119209551362398.69,Week_Num_23
119209551362392.47,Week_Num_24
119209551362438.88,Week_Num_25
119209551362512.36,Week_Num_26
