Alpha_0.1,Alpha_1,Alpha_10,Features
0.6580271375168601,0.6555768432074621,0.6255997608842341,Score
-390.66445446417833,-272.89767118889836,624.1261654711489,Intercept
200.08836047786215,189.5444083523107,105.57391149291267,Open Hours
-815.3585600219498,-0.0,-0.0,Holiday_Event_Easter
548.0225637829669,423.4821612097808,0.0,Holiday_Event_Good Friday
622.3770204521495,402.9041713098007,0.0,Holiday_Event_Memorial Day
-345.41075725947627,-181.79426459930792,-0.0,Holiday_Event_Mother's Day
-147.44678374690324,-171.31935968983356,-132.07792743036592,Holiday_Event_None
440.64032818398266,165.3127724774682,0.0,Holiday_Event_President's Day
140.2726407484426,0.0,0.0,Holiday_Event_St. Patrick's Day
-132.7709689996208,-18.729857480107253,-0.0,Holiday_Event_Valentine's Day
199.58965146676013,188.51724583873366,185.01040527075216,Holiday_Period_Easter
18.161019011620972,0.0,-0.0,Holiday_Period_Memorial Day
14.853970524316393,-0.0,-0.0,Holiday_Period_Mother's Day
0.0,0.0,-0.0,Holiday_Period_None
-106.41142580673744,-0.0,0.0,Holiday_Period_President's Day
-17.770192117519173,0.0,0.0,Holiday_Period_St. Patrick's Day
-55.563538016499784,-28.60366734490468,-0.0,Holiday_Period_Valentine's Day
0.0,0.0,0.0,Promo_B3G3F
0.0,0.0,0.0,Sales_Promo_None
-1068.6203764944028,-1065.9756359319654,-1038.4133604125648,Cluster_0
964.4606595680206,920.2135582160265,520.5675115640487,Cluster_1
-370.9880841077086,-365.9220221199722,-317.0553657643665,Cluster_2
551.6369713633454,546.8967731916396,498.7329365200451,Cluster_3
-130.91194551462667,-109.91468038870683,-26.046314903523005,Day_of_Week_0
-169.6147840649541,-169.71368496430685,-116.03434149074012,Day_of_Week_1
-128.92172062955254,-130.2411559979112,-73.16000860014711,Day_of_Week_2
-0.0,-0.0,-0.0,Day_of_Week_3
550.1444950880907,548.6542276501106,510.07057004525086,Day_of_Week_4
1728.9502664962656,1725.8379230412827,1645.9946918997232,Day_of_Week_5
1429.3153536604743,1346.6585016049257,899.0787363377356,Day_of_Week_6
-442.9332720858822,-251.24679742139332,-0.0,Week_Num_5
-223.1949127880921,-185.3092801834181,-35.514124120078506,Week_Num_6
4.651908527252837,-7.587955233324335,-0.0,Week_Num_7
269.81414209438685,278.7031229770169,84.5271302760628,Week_Num_8
115.48237482424197,119.3698073567607,0.0,Week_Num_9
71.37541258897235,75.38589951861114,0.0,Week_Num_10
235.45781568174957,243.43136169378616,25.26976714214063,Week_Num_11
125.47346594499751,124.049643156343,0.0,Week_Num_12
317.91527866179916,315.6086453256632,132.118091222692,Week_Num_13
171.79450693868685,180.5161070812571,0.0,Week_Num_14
-93.82695935989622,-52.18919493265962,-0.0,Week_Num_15
-41.12778008343837,-0.0,-0.0,Week_Num_16
-104.9428974627651,-63.29525363832928,-0.0,Week_Num_17
-125.73162845032512,-84.40164118922098,-0.0,Week_Num_18
-96.32592428315156,-72.02315919155605,-0.0,Week_Num_19
-107.24448189624226,-59.20541141080386,-0.0,Week_Num_20
-108.26461958686183,-58.85164843174519,-0.0,Week_Num_21
-93.06946216549596,-13.13573051825664,-0.0,Week_Num_22
1.2413827963233428,5.215446610237729,-0.0,Week_Num_23
-0.07720095043525327,0.0,-0.0,Week_Num_24
42.05948704861892,46.146753544387586,0.0,Week_Num_25
114.69822986316348,109.49346712267949,0.0,Week_Num_26
