Alpha_0.1,Alpha_1,Alpha_10,Features
0.658027138,0.655576843,0.625599761,Score
-390.6644545,-272.8976712,624.1261655,Intercept
200.0883605,189.5444084,105.5739115,Open Hours
-815.35856,0,0,Holiday_Event_Easter
548.0225638,423.4821612,0,Holiday_Event_Good Friday
622.3770205,402.9041713,0,Holiday_Event_Memorial Day
-345.4107573,-181.7942646,0,Holiday_Event_Mother's Day
-147.4467837,-171.3193597,-132.0779274,Holiday_Event_None
440.6403282,165.3127725,0,Holiday_Event_President's Day
140.2726407,0,0,Holiday_Event_St. Patrick's Day
-132.770969,-18.72985748,0,Holiday_Event_Valentine's Day
199.5896515,188.5172458,185.0104053,Holiday_Period_Easter
18.16101901,0,0,Holiday_Period_Memorial Day
14.85397052,0,0,Holiday_Period_Mother's Day
-106.4114258,0,0,Holiday_Period_President's Day
-17.77019212,0,0,Holiday_Period_St. Patrick's Day
-55.56353802,-28.60366734,0,Holiday_Period_Valentine's Day
-1068.620376,-1065.975636,-1038.41336,Cluster_0
964.4606596,920.2135582,520.5675116,Cluster_1
-370.9880841,-365.9220221,-317.0553658,Cluster_2
551.6369714,546.8967732,498.7329365,Cluster_3
-130.9119455,-109.9146804,-26.0463149,Day_of_Week_0
-169.6147841,-169.713685,-116.0343415,Day_of_Week_1
-128.9217206,-130.241156,-73.1600086,Day_of_Week_2
0,0,0,Day_of_Week_3
550.1444951,548.6542277,510.07057,Day_of_Week_4
1728.950266,1725.837923,1645.994692,Day_of_Week_5
1429.315354,1346.658502,899.0787363,Day_of_Week_6
-442.9332721,-251.2467974,0,Week_Num_5
-223.1949128,-185.3092802,-35.51412412,Week_Num_6
4.651908527,-7.587955233,0,Week_Num_7
269.8141421,278.703123,84.52713028,Week_Num_8
115.4823748,119.3698074,0,Week_Num_9
71.37541259,75.38589952,0,Week_Num_10
235.4578157,243.4313617,25.26976714,Week_Num_11
125.4734659,124.0496432,0,Week_Num_12
317.9152787,315.6086453,132.1180912,Week_Num_13
171.7945069,180.5161071,0,Week_Num_14
-93.82695936,-52.18919493,0,Week_Num_15
-41.12778008,0,0,Week_Num_16
-104.9428975,-63.29525364,0,Week_Num_17
-125.7316285,-84.40164119,0,Week_Num_18
-96.32592428,-72.02315919,0,Week_Num_19
-107.2444819,-59.20541141,0,Week_Num_20
-108.2646196,-58.85164843,0,Week_Num_21
-93.06946217,-13.13573052,0,Week_Num_22
1.241382796,5.21544661,0,Week_Num_23
-0.07720095,0,0,Week_Num_24
42.05948705,46.14675354,0,Week_Num_25
114.6982299,109.4934671,0,Week_Num_26
