Alpha_0.1,Alpha_1,Alpha_10,Features
0.6581074806512823,0.6581054690938251,0.6580816066361752,Score
118.40586666095237,119.75538327105073,132.68823170343308,Intercept
201.2993758427896,201.23317576244042,200.58319740213483,Open Hours
-955.8163069670549,-950.0861786902049,-896.2388143854683,Holiday_Event_Easter
526.6779499699568,525.758181565269,516.8984377065144,Holiday_Event_Good Friday
610.2434087071875,608.7860039427605,594.8326325963757,Holiday_Event_Memorial Day
-404.9417217351172,-404.8531722924163,-403.64196422926057,Holiday_Event_Mother's Day
-179.46883343435795,-180.09421465471686,-185.9370503506274,Holiday_Event_None
460.2057260036307,458.5120047856384,442.3835351451148,Holiday_Event_President's Day
127.95636648329875,127.24633507818653,120.64931754786188,Holiday_Event_St. Patrick's Day
-184.85658912867282,-185.26895974413202,-188.94609403147282,Holiday_Event_Valentine's Day
203.2791084328588,203.0477668424021,200.88103072990444,Holiday_Period_Easter
26.07215137749581,26.021061007786823,25.52318095310164,Holiday_Period_Memorial Day
28.548664263642166,28.307619617319702,25.95159670535097,Holiday_Period_Mother's Day
1.86553041674915,1.7476043112735868,0.6045861619314128,Holiday_Period_None
-144.55216564759255,-144.0869027936551,-139.60661457669104,Holiday_Period_President's Day
-28.347564399378296,-28.37577672939022,-28.63338736174064,Holiday_Period_St. Patrick's Day
-86.86572449374697,-86.6613722601551,-84.72039261226877,Holiday_Period_Valentine's Day
0.0,0.0,0.0,Promo_B3G3F
0.0,0.0,0.0,Sales_Promo_None
-1089.1898287382571,-1089.1030220197206,-1088.2404253015825,Cluster_0
949.1455108766559,948.9116413186639,946.5925855196302,Cluster_1
-391.82526876674086,-391.7341869009635,-390.8307023273679,Cluster_2
531.8695856987207,531.9255675158125,532.4785420978675,Cluster_3
-602.9657682584586,-602.8239327230891,-601.4382449692646,Day_of_Week_0
-638.2319823179863,-638.1786800664581,-637.6491819492352,Day_of_Week_1
-598.5522100381123,-598.4801185134488,-597.774919452949,Day_of_Week_2
-470.049717527781,-469.9687677541566,-469.174128146145,Day_of_Week_3
80.30591793608716,80.37803829231495,81.0877261633365,Day_of_Week_4
1258.9286120497027,1258.9232002491347,1258.8528149141723,Day_of_Week_5
970.5651458583828,970.1502602938074,966.0959334173475,Day_of_Week_6
-465.5866219022279,-464.9703394246002,-458.9250659903425,Week_Num_5
-223.1335681812269,-223.15056974347758,-223.30381558775596,Week_Num_6
41.21814784161031,40.82114830898059,36.997489715402175,Week_Num_7
273.5403639095355,273.4853852206529,272.93720246872397,Week_Num_8
115.07191245176085,115.05427156218622,114.8753447951853,Week_Num_9
70.94527265802454,70.93421645268383,70.82073795853792,Week_Num_10
241.12492101052163,241.03871648329675,240.17010823968212,Week_Num_11
128.64634294682077,128.60122336989588,128.15115117544826,Week_Num_12
318.530958309627,318.4063978630528,317.2169838341594,Week_Num_13
170.5900121259739,170.61420173024393,170.80533736233056,Week_Num_14
-98.43185449555307,-98.42040813246734,-98.30916122304698,Week_Num_15
-45.71533647618615,-45.710934206973654,-45.66994989880413,Week_Num_16
-109.55261240415558,-109.53980646138024,-109.41496976536085,Week_Num_17
-130.2963662567039,-130.2811416824329,-130.1319463273986,Week_Num_18
-103.88815594947793,-103.90371639765554,-104.06044778136503,Week_Num_19
-116.92112473065427,-116.85473113146111,-116.2025186830921,Week_Num_20
-115.44758521706,-115.46169253704593,-115.59588286845049,Week_Num_21
-103.97671365131393,-103.88408611288465,-102.97884243285121,Week_Num_22
0.8216240304366007,0.8197749270546983,0.7983685126231035,Week_Num_23
-4.698025736603558,-4.698868333017859,-4.710283777661846,Week_Num_24
41.626106200645886,41.61906077353912,41.54570125315007,Week_Num_25
115.53230347101841,115.48189746522934,114.9844590201422,Week_Num_26
