Alpha_0.1,Alpha_1,Alpha_10,Features
0.6644220271041024,0.6616357038038666,0.6293669817658133,Score
-350.33721270549427,-220.84158085690274,712.4532681171979,Intercept
180.00131429446074,168.47347855896876,78.73986793953166,Open Hours
-8.427950546216099,-0.0,-0.0,Justice (<1)
-34.53721369113791,-0.0,0.0,Justice (<5)
91.55190409030777,74.78681642437564,0.0,Justice (<10)
0.0,0.0,-11.386222378902872,Piercing Pagoda (<1)
-17.52182338975226,-0.0,-0.0,Piercing Pagoda (<5)
-21.681568096435612,-3.737465990559759,-0.0,Piercing Pagoda (<10)
52.89290272197278,0.0,-0.0,Miniso (<1)
-0.0,-0.0,-0.0,Miniso (<5)
-79.26553381377839,-0.0,-0.0,Miniso (<10)
38.30794695413992,39.95377380347746,-0.0,H&M (<1)
4.1235468830166795,1.4664841046764483,0.0,H&M (<5)
-56.47557699493579,-21.627864804340184,0.0,H&M (<10)
150.16963258741006,136.1798538707623,0.0,Zara (<1)
63.11724075465312,67.85141953011887,0.0,Zara (<5)
20.656157665828676,23.005753357242803,0.0,Zara (<10)
26.616540545852732,16.495401965230467,36.7121477548738,Competitor Density
-787.4098525704511,-0.0,-0.0,Holiday_Event_Easter
546.1035732560797,417.1532518527703,0.0,Holiday_Event_Good Friday
622.6914850281071,400.8059356610923,0.0,Holiday_Event_Memorial Day
-345.7792265313782,-186.1976482478379,-0.0,Holiday_Event_Mother's Day
-147.30745652778225,-173.9389537322468,-132.378582652879,Holiday_Event_None
439.61647680275274,161.48146600903956,0.0,Holiday_Event_President's Day
137.88455514613938,0.0,0.0,Holiday_Event_St. Patrick's Day
-132.49872157194713,-21.0696249966928,-0.0,Holiday_Event_Valentine's Day
199.7577237986075,189.72534130091253,185.82070972851852,Holiday_Period_Easter
17.89585597727935,0.0,-0.0,Holiday_Period_Memorial Day
13.67505532553278,-0.01094325422877178,-0.0,Holiday_Period_Mother's Day
0.0,0.0,-0.0,Holiday_Period_None
-106.32871786664823,-0.0,0.0,Holiday_Period_President's Day
-16.473381642558053,0.0,0.0,Holiday_Period_St. Patrick's Day
-54.09474867378219,-27.213324121059152,-0.0,Holiday_Period_Valentine's Day
0.0,0.0,0.0,Promo_B3G3F
0.0,0.0,0.0,Sales_Promo_None
-985.2931554618754,-982.8320150928291,-944.8830063372288,Cluster_0
1021.3438777066741,954.9301721821686,510.80049770618973,Cluster_1
-356.5205219840277,-351.6378216481489,-307.4635522526364,Cluster_2
521.6327751057921,519.2000734439475,483.1073271589298,Cluster_3
-133.39831122143562,-112.48094572811007,-29.280652766191405,Day_of_Week_0
-171.8069340249725,-171.91362870717134,-118.78514017891199,Day_of_Week_1
-129.8541450355193,-131.21909543308203,-74.62872103487663,Day_of_Week_2
-0.0,-0.0,-0.0,Day_of_Week_3
551.2617943741649,549.8631346572123,511.31400095992245,Day_of_Week_4
1725.3548895855902,1721.7792816904907,1640.845469738139,Day_of_Week_5
1344.8650849070327,1258.6552141069626,787.5173600294191,Day_of_Week_6
-438.88930391192963,-247.93526986799867,-0.0,Week_Num_5
-222.05012381951502,-184.8177869372832,-35.73149834125593,Week_Num_6
4.915995376127669,-7.867199137475621,-0.0,Week_Num_7
271.58707461002814,280.1023112614432,85.24880519087698,Week_Num_8
116.17040583000339,119.56847722768191,0.0,Week_Num_9
72.71812458160018,76.23691515404208,0.0,Week_Num_10
236.04878426168915,243.71923688239406,25.536853024944385,Week_Num_11
126.49913466988215,124.96079107989164,0.0,Week_Num_12
317.8412290970716,315.59409029537636,131.96754905939366,Week_Num_13
172.7541139325513,180.56474769939408,0.0,Week_Num_14
-92.42309095036903,-51.20816163017305,-0.0,Week_Num_15
-40.256820445623724,-0.0,-0.0,Week_Num_16
-104.61635155457382,-63.64213305771736,-0.0,Week_Num_17
-124.94843573001818,-84.07694503248239,-0.0,Week_Num_18
-93.85702312140613,-70.50897762293009,-0.0,Week_Num_19
-106.04092092770223,-59.055803599395105,-0.0,Week_Num_20
-106.92970390964253,-58.21468460501065,-0.0,Week_Num_21
-92.02422930944174,-12.867533275423902,-0.0,Week_Num_22
1.485440403680413,4.899945783948965,-0.0,Week_Num_23
-0.08830924334297047,0.0,-0.0,Week_Num_24
42.42708720834308,46.107523958319966,0.0,Week_Num_25
115.14943465983077,109.59677132432277,0.0,Week_Num_26
