Alpha_0.1,Alpha_1,Alpha_10,Features
0.6620871438664293,0.6620858705162582,0.6620407987000386,Score
-1688.058359252899,-1677.5305576597664,-1589.754287518266,Intercept
188.27609736951527,188.2100050016863,187.55262656038443,Open Hours
59.09004577421566,59.09013484969918,59.09049050572909,Justice (<1)
40.51943802324926,40.51715097706746,40.4910925395202,Piercing Pagoda (<1)
81.46771886193949,81.50059855730217,81.82393628425721,H&M (<1)
305.2343563266488,305.21794411494454,305.0442398085927,Zara (<1)
556.5186177737169,555.9424006407152,549.6306060338784,Holiday_Event_Good Friday
644.3557740331934,642.3290516335717,622.6995024599585,Holiday_Event_Memorial Day
-526.1962286455367,-524.9397349119365,-514.0813288266011,Holiday_Event_Mother's Day
-287.399483297915,-287.49634402562253,-288.9174030217704,Holiday_Event_None
77.22853035405404,78.1957238334197,86.3605396689779,Holiday_Period_Easter
-238.89186484719755,-238.39328757110812,-233.31536153698602,Holiday_Period_Memorial Day
-11.05320442877282,-11.480776500488275,-15.06999962264178,Holiday_Period_Mother's Day
-100.96579222885117,-101.38239799816662,-104.69161665846505,Holiday_Period_None
130.1969264902581,129.90208451622811,126.77964277405198,Holiday_Period_President's Day
143.48540467711348,143.1586537190217,139.93679537533086,Holiday_Period_Valentine's Day
2077.1376595356905,2076.4715840809017,2069.825750228332,Cluster_1
645.6818394517546,645.6210884877123,645.0130044063523,Cluster_2
1525.858344736059,1525.7228115606874,1524.3811664029683,Cluster_3
-40.65795987220468,-40.87475591974679,-43.043008300369955,Day_of_Week_1
6.383561570247403,6.167768881545738,4.009748857873007,Day_of_Week_2
136.7741956394632,136.55434800076367,134.36600032801704,Day_of_Week_3
683.1202554924317,682.8585187027198,680.3004727224939,Day_of_Week_4
1854.551764309994,1854.1906256109428,1850.6520243682685,Day_of_Week_5
1484.4501442256708,1483.2576292985623,1472.4798793193258,Day_of_Week_6
128.3499892731789,119.37525713167743,46.844640686929466,Week_Num_6
140.3525135851263,131.29270608165083,58.61567324380057,Week_Num_7
682.2277296372573,673.1729738856916,599.6935766372213,Week_Num_8
548.1778585080956,539.1709198995726,466.0887226899629,Week_Num_9
504.45746222550895,495.4582542731247,422.44982480711525,Week_Num_10
655.6618022900927,646.6265951512578,573.1952699965093,Week_Num_11
528.4975011789288,519.2974816860692,444.6202388504614,Week_Num_12
630.3704525028343,619.9530236333165,535.3066559338766,Week_Num_13
690.3584003677473,681.3322793335992,608.0591519129642,Week_Num_14
335.03387047911895,326.05731173523924,253.27348863582608,Week_Num_15
387.6630860470719,378.6797406447314,305.82858425235275,Week_Num_16
323.1871935936304,314.21178550549274,241.44129440812767,Week_Num_17
302.66910909199504,293.69520215103506,220.9412019007995,Week_Num_18
307.9380123600472,298.7827614054988,224.46555210654978,Week_Num_19
327.66635793987297,318.690632294373,245.91604909531472,Week_Num_20
387.12549588491794,377.75482915231794,301.3603591757601,Week_Num_21
342.34897054328985,333.5159455417346,262.1206926953722,Week_Num_22
433.4803421186981,424.4899954404678,351.57184759772895,Week_Num_23
427.5876310472205,418.5983119744988,345.69146327268567,Week_Num_24
474.66649999569063,465.67098427830433,392.6992444177504,Week_Num_25
543.9665808499211,534.84804423216,460.82441434372674,Week_Num_26
