,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,1,2,1,1,4,4,5,5,1,8,5,2,6,9,6,5,11,18,5
1,0,0,0,2,1,1,0,6,5,1,1,0,3,1,9,13,5,17,15,0
2,0,1,2,3,4,2,5,2,3,3,10,9,0,4,10,8,3,6,4,13
3,0,1,2,3,4,2,5,2,3,3,10,9,0,4,10,8,3,6,4,8
4,0,1,2,3,0,4,1,5,5,5,8,1,2,6,6,6,1,11,18,5
5,0,1,2,1,0,5,6,6,5,1,1,0,2,6,4,6,13,10,15,5
6,0,1,2,3,4,2,5,2,8,5,2,1,9,4,6,2,1,13,14,10
7,0,0,0,2,1,1,0,6,7,0,1,0,3,1,4,13,10,10,15,0
8,0,0,0,2,1,1,0,0,7,0,5,6,11,10,0,13,10,5,5,12
9,0,0,0,2,1,1,4,4,0,9,6,5,10,12,9,15,5,16,8,6
10,0,0,0,2,1,1,4,4,0,9,6,5,10,12,9,15,5,16,8,6
11,0,0,0,2,1,1,4,4,0,9,6,5,10,12,9,15,5,16,8,6
12,0,0,0,2,1,1,0,0,7,0,5,6,11,10,0,10,0,5,11,17
13,0,0,0,1,1,1,4,6,5,1,1,0,2,6,9,6,5,11,0,5
14,0,0,0,1,1,1,0,6,5,1,1,0,3,1,4,13,13,10,15,0
15,0,0,0,1,0,5,6,6,5,4,4,0,8,8,4,5,13,10,15,18
16,0,0,0,2,3,1,0,0,7,0,5,6,11,10,0,13,10,5,5,12
17,0,1,2,3,4,2,5,2,8,5,2,1,9,2,13,2,9,13,14,10
18,0,0,0,2,1,1,4,4,0,9,6,5,10,12,9,15,5,16,8,6
19,0,0,0,2,1,1,0,0,7,0,5,6,3,1,0,13,10,5,5,0
20,0,1,2,1,0,4,1,5,5,7,8,7,2,6,11,6,1,11,18,5
21,0,0,0,2,3,1,0,0,7,0,5,6,11,10,0,13,10,5,5,12
22,0,0,0,2,1,1,0,0,0,9,5,6,11,12,7,10,0,12,11,17
23,0,0,0,2,1,1,0,4,7,0,5,6,3,1,0,13,10,17,0,0
24,0,1,2,3,4,2,5,2,8,5,2,1,9,2,13,2,9,13,14,10
25,0,1,2,3,4,2,5,2,3,3,10,9,0,4,10,8,3,6,4,8
26,0,0,0,2,1,1,0,6,7,0,1,0,3,1,0,13,10,17,15,0
27,0,0,0,1,1,1,4,4,5,1,1,5,3,1,9,1,5,17,0,0
28,0,0,0,2,1,1,4,4,0,9,6,5,10,12,7,15,16,12,11,6
29,0,0,0,2,1,1,4,4,0,9,6,5,10,12,7,15,16,16,8,6
30,0,0,0,1,1,1,4,4,0,1,6,5,1,1,9,1,5,17,0,11
31,0,0,0,2,1,1,0,0,7,0,5,6,11,10,0,10,0,5,11,17
32,0,0,0,2,1,1,0,0,0,9,5,6,11,12,7,10,0,12,11,17
33,0,0,0,2,3,1,0,0,7,0,5,6,11,10,0,10,0,5,5,17
34,0,0,0,2,3,1,0,0,7,0,5,6,11,10,0,10,0,5,5,17
35,0,0,0,2,1,1,4,4,0,9,6,5,10,12,7,15,16,12,11,6
36,0,0,1,0,2,0,2,3,2,2,9,8,4,9,3,11,12,14,13,4
37,0,0,1,0,2,0,2,3,2,2,9,8,4,9,3,11,2,3,13,4
38,0,1,2,3,4,2,5,2,8,5,2,1,9,2,13,2,1,13,14,10
39,0,1,2,1,0,4,1,5,5,7,8,7,2,6,11,9,11,9,10,7
40,0,0,0,2,3,1,0,0,7,0,5,6,11,10,0,10,0,5,5,17
41,0,0,0,2,3,1,0,0,7,0,5,6,11,10,0,10,0,5,5,17
42,0,0,0,1,1,1,4,6,5,1,1,0,3,1,5,1,8,17,0,11
43,0,0,0,2,1,1,4,4,0,9,6,2,1,12,7,15,16,12,11,6
44,0,1,2,1,0,4,1,5,1,7,8,7,2,13,11,9,11,11,18,7
45,0,0,0,2,1,1,4,4,0,9,6,5,1,5,7,1,16,17,0,11
46,0,1,2,3,4,2,5,2,8,5,2,1,9,2,13,2,9,13,14,10
47,0,0,0,1,1,1,4,6,5,1,1,0,3,1,5,1,8,17,15,0
48,0,1,2,1,0,4,1,1,5,7,8,11,2,6,11,9,11,9,10,7
49,0,0,0,2,1,1,4,4,0,9,6,5,1,5,7,1,16,17,0,11
50,0,0,0,2,3,3,3,4,0,9,6,2,7,3,7,4,16,12,11,14
51,0,1,2,1,0,4,1,5,1,7,8,7,2,13,11,9,11,9,10,7
52,0,0,0,2,3,3,3,0,7,0,5,6,11,10,0,10,0,5,5,17
53,0,0,1,0,2,0,2,3,2,2,9,8,4,9,3,11,12,14,13,4
54,0,0,1,0,2,0,2,3,2,2,9,8,4,9,3,11,12,14,13,4
55,0,1,2,3,0,4,1,5,1,7,2,7,5,2,11,7,1,15,2,19
56,0,1,2,3,0,4,1,5,1,7,8,7,5,13,11,9,1,0,10,19
57,0,0,0,2,1,3,4,4,0,9,6,5,1,5,7,1,16,12,0,11
58,0,0,0,2,1,3,4,4,0,9,6,2,1,5,7,1,16,12,3,11
59,0,0,0,2,3,3,3,7,4,6,0,2,1,5,5,4,8,7,3,9
60,0,1,2,1,0,5,6,1,6,4,4,11,8,8,12,5,4,4,17,18
61,0,0,0,2,3,3,3,7,4,6,0,2,7,3,8,4,15,2,7,14
62,0,0,0,1,0,5,6,1,6,4,4,11,8,8,5,5,4,9,17,18
63,0,1,2,1,0,4,1,1,1,7,8,11,5,13,11,9,11,9,10,7
64,0,1,2,3,0,4,1,5,1,7,8,7,5,13,11,7,11,15,2,19
65,0,0,0,2,3,3,3,7,4,6,0,2,7,3,8,4,15,7,3,14
66,0,0,0,2,1,3,4,4,0,9,6,2,1,5,7,1,16,7,3,11
67,0,1,1,0,2,5,6,1,6,4,4,3,8,8,12,5,7,4,16,15
68,0,0,0,1,3,3,3,7,4,1,1,2,1,5,5,1,8,7,3,9
69,0,0,0,2,3,3,3,7,4,6,0,2,7,3,5,4,8,7,3,9
70,0,1,2,1,0,5,6,1,6,4,4,11,8,8,12,5,6,4,6,2
71,0,0,1,0,2,0,2,3,2,2,9,8,4,9,3,11,12,14,1,4
72,0,0,0,2,1,3,4,4,0,9,6,2,1,5,7,0,16,12,3,11
73,0,0,0,2,3,3,3,7,4,6,0,2,1,5,5,4,8,7,3,9
74,0,0,0,2,3,3,3,7,4,6,0,2,7,3,8,4,15,7,3,14
75,0,0,0,2,3,3,3,7,4,6,0,2,7,3,8,0,15,2,7,14
76,0,1,2,1,0,4,1,5,1,7,8,7,5,13,11,9,11,9,10,7
77,0,0,0,2,3,3,3,7,4,6,0,2,7,3,8,4,15,2,7,14
78,0,0,1,0,2,0,2,3,2,8,3,8,4,9,3,3,12,14,1,4
79,0,0,0,2,3,3,3,7,4,6,0,10,6,7,14,12,14,1,9,3
80,0,0,0,2,3,3,3,7,4,6,0,10,6,7,14,12,14,1,9,3
81,0,1,2,1,0,4,1,5,1,7,8,7,5,13,11,9,11,9,10,7
82,0,0,0,2,3,3,3,7,4,6,0,2,7,3,8,4,15,2,7,14
83,0,0,0,1,3,5,6,1,6,4,4,10,8,8,12,5,4,1,17,18
84,0,1,2,1,0,4,1,5,1,7,8,7,5,13,11,9,11,9,2,19
85,0,0,0,2,3,3,3,7,4,6,0,2,7,3,5,4,8,7,3,9
86,0,0,0,2,3,3,3,7,4,6,0,10,6,7,14,12,14,1,9,3
87,0,0,0,1,3,3,3,7,4,6,0,2,1,5,5,1,8,7,3,9
