Alpha_0.1,Alpha_1,Alpha_10,Features
0.5534901532825223,0.5361206013816956,0.4309487041997322,Score
823.0397549665106,856.1745382531294,660.6211191583159,Intercept
-17.68441174598216,-16.7298026784656,-0.0,Open Hours
10.364331388083034,10.773441771820405,14.939654088914045,Labour Hours
13.17560139051779,0.0,-0.0,"Holiday_Event_
Corpus Christi Bhol"
-0.0,0.0,0.0,"Holiday_Event_
Legal Sale Starts"
-150.7232539316973,-0.0,-0.0,"Holiday_Event_
Liberation Day Bhol"
-0.0,-0.0,-0.0,Holiday_Event_ All Saints Day 
0.0,-0.0,-0.0,Holiday_Event_All Saints Day Bhol
0.0,0.0,-0.0,Holiday_Event_Assumption Day
0.0,0.0,0.0,Holiday_Event_Assumption Day Bhol
470.3994105162916,0.0,0.0,Holiday_Event_Black Friday
-0.0,-0.0,-0.0,Holiday_Event_Carnival
0.0,-0.0,-0.0,Holiday_Event_Children'S Day
-0.0,-0.0,-0.0,Holiday_Event_Childrens Day
-204.30720649151726,-0.0,0.0,Holiday_Event_Christmas Eve
53.90069057030236,0.0,-0.0,Holiday_Event_Corpus Christi
-0.0,-0.0,-0.0,Holiday_Event_Day Of Portugal Bhol
-0.0,-0.0,-0.0,Holiday_Event_Easter Holidays End
79.78061646639581,0.0,-0.0,Holiday_Event_Easter Holidays Start
6.557227177720191,-0.0,-0.0,Holiday_Event_Easter Monday
-164.8490644245205,-0.0,-0.0,Holiday_Event_Easter Sunday
-32.86108558533905,-0.0,-0.0,Holiday_Event_Fathers Day
-193.6672866534403,-0.0,-0.0,Holiday_Event_Freedom Day
-0.0,-0.0,-0.0,Holiday_Event_Good Friday
-16.741727427596683,-0.0,-0.0,Holiday_Event_Good Friday Bhol
576.4684558145382,240.53444755191583,0.0,Holiday_Event_Halloween
111.03969149492863,0.0,0.0,Holiday_Event_Immaculate Conception Day 
53.900757134770906,0.0,0.0,Holiday_Event_Immaculate Conception Day Bhol
-48.96618611350637,-0.0,-0.0,Holiday_Event_Independence Day Bhol
-6.408946015564135,-0.0,-0.0,Holiday_Event_International Women'S Day
0.0,0.0,0.0,Holiday_Event_Labour Day Bhol
0.0,0.0,0.0,"Holiday_Event_Labour Day, Mother'S Day"
-0.0,0.0,-0.0,Holiday_Event_Legal Sale Period Ends
