Store_Number,Airport_Code
1002,LSZH
1010,LSGG
1014,LSZF
1017,LSGL
1018,LSGL
1019,LSZR
1024,LSGG
1026,LSGL
1027,LSZF
1028,LSZH
1035,LSZA
1036,LFSB
1042,LSGG
1045,LSZS
1048,LSGN
1050,LSGL
1051,LSZG
1052,LSGN
1053,LSGS
1054,LSZH
1055,LSGG
1056,LSZR
1057,LSGG
1059,LSZF
1060,LSZR
1063,LFSB
1064,LSMI
1065,LFSB
1066,LSZH
1068,LFSB
1069,LSGC
1070,LSGS
1071,LSGG
1073,LSZB
1074,LSGE
1075,LSZF
1076,LSZH
1077,LSZL
1078,LSGL
1080,LSZA
1081,LSZH
1083,LSGB
1084,LSGL
1085,LSZF
1086,LSZR
1087,LSGG
1088,LFSB
1089,LSZB
1091,LSGG
1092,LSZH
1093,LSZR
1095,LSZH
1096,LSGL
1097,LSZH
1099,LSZB
