,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,0,0,1,1,5,6,6,1,6,7,4,9,0,2,0,3,13,13,12
1,0,0,0,1,1,5,6,6,1,6,7,4,9,0,2,0,3,13,13,12
2,0,0,0,1,1,5,6,6,1,7,2,7,10,9,10,11,7,16,18,10
3,0,0,0,1,1,5,6,6,1,7,6,10,1,11,12,10,16,3,5,4
4,0,0,0,1,1,5,6,6,1,6,7,4,9,0,2,0,3,13,13,12
5,0,0,0,1,1,5,6,6,1,7,2,7,10,9,10,10,16,3,5,4
6,0,0,0,1,1,5,6,6,1,6,7,4,9,0,2,0,3,13,13,12
7,0,0,0,1,1,5,6,6,1,7,2,7,10,9,10,11,7,16,18,10
8,0,0,0,1,1,5,6,6,1,7,2,7,10,9,10,11,7,3,5,4
9,0,0,0,1,1,5,6,6,1,7,6,10,1,11,12,10,16,3,5,4
10,0,0,0,1,1,5,6,6,1,7,6,10,1,11,12,10,16,3,5,4
11,0,0,0,1,1,3,2,7,8,0,6,10,1,11,12,12,15,11,11,14
12,0,0,0,1,1,5,6,0,0,6,6,10,1,11,12,15,15,11,11,14
13,0,0,0,1,1,5,6,6,1,7,2,7,10,7,5,5,10,4,0,16
14,0,0,0,1,1,3,2,7,8,0,6,6,1,11,12,12,15,11,11,14
15,0,0,0,1,1,5,0,4,6,7,9,10,1,7,5,5,10,4,0,16
16,0,0,0,1,1,5,6,6,6,7,9,10,1,7,5,5,10,4,0,19
17,0,0,0,1,0,1,4,0,0,8,10,8,8,2,7,15,0,17,10,8
18,0,1,2,3,3,2,1,5,4,4,5,1,4,4,3,4,4,5,2,2
19,0,0,0,0,4,3,2,7,8,0,4,6,6,6,6,7,9,7,17,13
20,0,0,0,1,0,1,4,0,7,8,1,8,8,2,7,15,0,17,10,8
21,0,1,2,0,4,3,2,7,8,0,4,6,6,6,6,7,9,7,3,18
22,0,0,0,0,4,3,2,7,8,0,4,6,6,6,14,12,12,12,15,1
23,0,0,0,1,0,1,4,2,7,8,1,8,8,2,7,15,0,15,10,8
24,0,0,0,1,0,1,4,2,6,3,9,2,0,7,5,5,10,4,0,19
25,0,0,0,1,0,1,4,0,0,9,10,8,11,12,0,1,5,6,7,5
26,0,0,0,1,0,1,4,2,7,8,1,0,5,8,11,13,13,10,14,0
27,0,0,0,0,4,4,0,4,5,5,8,9,7,5,8,8,6,8,8,6
28,0,0,0,1,0,1,4,2,6,3,9,2,0,7,9,9,8,4,0,19
29,0,0,0,1,0,1,4,2,7,8,1,8,8,2,7,15,0,17,10,8
30,0,0,0,1,0,1,4,2,7,8,1,8,8,13,7,15,0,15,9,8
31,0,0,0,1,0,3,2,0,0,9,10,11,11,12,0,1,5,6,7,5
32,0,0,0,0,4,4,0,4,5,5,8,9,7,5,8,8,6,8,8,6
33,0,0,0,1,0,3,0,4,6,3,9,2,0,7,5,5,10,4,16,17
34,0,0,0,0,4,4,0,4,5,5,8,9,7,5,8,8,6,8,8,6
35,0,0,0,1,0,1,4,2,7,8,1,8,8,13,7,6,11,15,9,8
36,0,0,0,1,0,1,4,2,7,8,1,8,8,2,7,6,11,15,9,8
37,0,0,0,1,0,3,2,0,0,9,10,11,11,12,0,1,5,6,7,5
38,0,0,0,1,0,1,4,0,0,9,10,11,11,12,0,1,5,6,7,5
39,0,0,0,1,0,1,4,2,7,8,1,8,0,13,7,6,11,15,9,9
40,0,0,0,1,0,1,4,2,6,3,9,2,0,13,9,9,8,0,9,9
41,0,0,0,1,0,1,4,2,6,3,1,2,0,13,9,9,8,0,9,9
42,0,0,0,1,0,1,4,2,7,8,1,8,5,13,7,6,11,15,9,15
43,0,0,0,1,0,1,4,2,7,8,1,0,5,2,7,6,11,9,6,15
44,0,0,0,1,0,1,4,2,7,8,1,0,5,8,11,13,13,10,14,0
45,0,0,0,1,0,1,0,4,6,3,9,2,0,7,9,9,8,0,16,17
46,0,0,0,1,0,1,4,2,7,8,1,0,5,13,7,6,11,15,9,15
47,0,0,0,1,0,1,4,2,6,3,9,2,0,13,9,9,8,0,16,9
48,0,0,0,1,0,3,2,0,0,9,10,11,11,12,0,1,5,6,7,5
49,0,1,2,0,4,4,5,1,2,2,0,5,12,10,13,14,14,1,12,11
50,0,0,1,2,2,0,3,3,3,1,3,3,3,3,4,3,2,2,1,3
51,0,1,2,0,4,4,5,1,2,2,0,5,2,1,1,2,1,14,4,7
52,0,1,2,0,4,4,5,1,2,2,0,5,2,1,1,2,1,14,4,7
