Alpha_0.1,Alpha_1,Alpha_10,Features
0.7423056209366894,0.7350442816187444,0.6748109709614627,Score
220.38409437252926,216.0420863898462,-105.26646913523246,Intercept
11.862301389071405,10.815172625319123,0.0,Open Hours
33.52926218579527,35.49702840706681,54.765939342715136,Labour Hours
0.0,-0.0,-0.0,"Holiday_Event_
 Knabenschiessen "
0.0,0.0,0.0,"Holiday_Event_
Acsension Day (Bhol)"
-0.0,-0.0,0.0,"Holiday_Event_
Corpus Christi "
0.0,0.0,0.0,"Holiday_Event_
Jeune Genevois"
-0.0,0.0,0.0,"Holiday_Event_
St Stephens Day"
-3.7952790646254213,-0.0,-0.0,Holiday_Event_ Jeune Genevois 
-0.0,0.0,0.0,Holiday_Event_ St Peter & St Paul
-0.0,-0.0,-0.0,Holiday_Event_Ascension Day
50.00616821703377,0.0,0.0,Holiday_Event_Assumption Day
-0.0,-0.0,-0.0,Holiday_Event_Bank Holiday (Good Friday)
34.323231842705084,0.0,0.0,Holiday_Event_Berchtolds Day
0.0,-0.0,-0.0,Holiday_Event_Bettag
0.0,-0.0,-0.0,Holiday_Event_Bettagsmontag 
434.4148744772926,0.0,0.0,Holiday_Event_Black Friday
-0.0,-0.0,0.0,Holiday_Event_Christmas Day
-0.0,-0.0,0.0,Holiday_Event_Christmas Day (Bhol)
-359.5881553941186,-0.0,0.0,Holiday_Event_Christmas Eve
108.98148796138867,0.0,0.0,Holiday_Event_Corpus Christi 
0.0,0.0,0.0,Holiday_Event_Easter Monday (Bhol)
-63.85298282807434,-0.0,-0.0,Holiday_Event_Easter Sunday
-56.65296826525295,-0.0,-0.0,Holiday_Event_Epiphany
-0.0,0.0,0.0,Holiday_Event_Fathers Day 
0.0,0.0,0.0,Holiday_Event_Good Friday (Bhol)
294.1112861998538,0.0,0.0,Holiday_Event_Halloween
55.795416128889144,0.0,0.0,Holiday_Event_Immaculate Conception Day
-0.0,-0.0,0.0,Holiday_Event_Immaculate Conception Day 
-35.49634991060706,-0.0,-0.0,Holiday_Event_Knabenschiessen Zurich
72.13545755614119,0.0,0.0,Holiday_Event_Labour Day
0.0,0.0,0.0,Holiday_Event_Maw World Wish Day
-0.0,-0.0,0.0,Holiday_Event_Mother'S Day
0.0,0.0,0.0,Holiday_Event_Mothers Day
0.0,0.0,0.0,Holiday_Event_National Day
-0.0,-0.0,-0.0,Holiday_Event_National Day Bhol
-578.4062175977981,-0.0,-0.0,Holiday_Event_New Years Day
-772.7275143111834,-69.97273875108294,-0.0,Holiday_Event_New Years Eve
-67.72216342912921,-50.57571746021491,-0.0,Holiday_Event_None
0.0,0.0,-0.0,Holiday_Event_Octoberfest
182.64455953317648,0.0,0.0,Holiday_Event_Pentecost
0.0,0.0,0.0,Holiday_Event_Republic Day 
0.0,0.0,0.0,Holiday_Event_Saint Peter & Saint Paul 
-14.585479813974725,-0.0,-0.0,Holiday_Event_Sechselauten Zurich
-25.30419644041254,-0.0,-0.0,Holiday_Event_St Josephs Day
-0.0,-0.0,0.0,Holiday_Event_St Stephens Day (Bhol)
0.0,0.0,0.0,Holiday_Event_Swiss Federal Fast
0.0,0.0,0.0,Holiday_Event_Swiss Federal Fast 
0.0,0.0,-0.0,Holiday_Event_Valentines Day
-0.0,-0.0,-0.0,Holiday_Event_Womens Day
247.7160467198181,174.22219639766402,188.23027988526817,Holiday_Period_Christmas
0.0,-48.35131003336662,-0.0,Holiday_Period_Easter
0.0,6.9261280498272795,0.0,Holiday_Period_Halloween
-109.93864943449329,-142.5280477187624,-147.28800558554457,Holiday_Period_None
-9.442575439595236,0.0,0.0,Holiday_Period_Public Holiday
115.85120640510772,0.0,-0.0,Promo_Cc & Lic
-23.69268727955303,-23.904461508867023,-0.0,Promo_Ears 342
-168.91166359765765,-43.22831306612464,-0.0,Promo_Ears 342 / Hair 342
8.719368474081135,0.0,-0.0,Promo_Es342
61.319746503049,81.66432944612262,0.0,Promo_Esb3G2
61.58855913357696,77.89252174385732,45.21867781418984,Promo_Esb3G3
-86.9363625596189,-0.0,0.0,Promo_Esb3G3 / Secret Sale 342
-52.2083141092079,-0.0,-0.0,Promo_Esb3G3 Min Model / Secret Sale 342
90.55099143563277,0.0,-0.0,Promo_Esb3G3 Or H&C B1G150%
-0.0,-0.0,-0.0,Promo_Esb3G3 Or Hair B1G150%
-0.0,-0.0,-0.0,Promo_Esb3G3 Or Jwly B1G150%
38.74543799824815,0.0,0.0,Promo_Hair & Ears 342
-4.6915303826932835,-0.0,-0.0,Promo_Hair & Jwly & Cos 342
64.29162420998276,32.29425511106662,0.0,Promo_Hair & Jwly 342
-0.0,0.0,-0.0,Promo_Hair 342
-14.670618579827364,-11.29623171290831,-0.0,Promo_Jwly 342
0.0,0.0,-0.0,Promo_No Main Offer
71.49939817060591,76.65033736814236,0.0,Sales_Promo_10 For 10
54.117784360242254,29.247956659509494,0.0,Sales_Promo_3 For 10
-161.22078286317864,-130.64743460065145,-0.0,Sales_Promo_3 For 10 / 5 For 10
0.0,-0.0,-0.0,Sales_Promo_3 For 10 / 5 For 10 (Over €5 @ €5)
-1.4759908896404446,-0.0,0.0,Sales_Promo_5 For 10
-85.87508926711443,-78.81923789073889,-0.0,Sales_Promo_545
30.42386053801232,15.592482740003272,0.0,Sales_Promo_75% Off
82.92663142310451,13.797625033702337,0.0,Sales_Promo_B3G3
-62.57473652640974,-0.0,-0.0,Sales_Promo_€2 Dot
-154.8679629643212,-149.26846316432494,-101.04351239402925,Cluster_0
0.0,0.0,-0.0,Cluster_1
-404.49834488349416,-350.6618365314421,-0.0,Cluster_2
2384.164443048311,2252.35122962212,944.1962923096122,Cluster_3
382.43901224665075,358.23812626891504,112.46805636799834,Cluster_4
-168.53606061455673,-153.00899011184424,-14.259761137948837,Day_of_Week_0
-135.17559524563188,-119.1504469352323,-0.0,Day_of_Week_1
56.88870073739773,56.4527783547325,45.74420725077191,Day_of_Week_2
-76.46281485306022,-65.03133661177509,-0.0,Day_of_Week_3
-0.0,0.0,-0.0,Day_of_Week_4
455.73280535488453,435.80572653075814,359.5225689532263,Day_of_Week_5
33.72488911657309,0.0,0.0,Day_of_Week_6
71.63490522379739,16.418866786291208,-0.0,Week_Num_1
-116.07163419541803,-71.83858468562825,-0.0,Week_Num_2
-120.33454483702164,-75.57016208031662,-0.0,Week_Num_3
6.730292097226879,0.0,-0.0,Week_Num_4
97.29363644495487,49.9783289512912,0.0,Week_Num_5
-4.379815789825249,-0.0,-0.0,Week_Num_6
-70.77926751002371,-74.0018161908898,-0.0,Week_Num_7
79.11031026116655,13.829261031035252,0.0,Week_Num_8
44.57211885663173,0.0,0.0,Week_Num_9
-115.67498034950594,-73.08428394089934,-0.0,Week_Num_10
-136.75932895723483,-89.61438438974076,-0.0,Week_Num_11
-87.6844781715137,-29.68680186433784,-0.0,Week_Num_12
-30.097367568666208,-0.0,-0.0,Week_Num_13
-25.261769795086256,-0.0,-0.0,Week_Num_14
-37.47691044082571,-0.0,-0.0,Week_Num_15
-78.11321547771546,-28.301601919379536,-0.0,Week_Num_16
-0.0,0.0,-0.0,Week_Num_17
42.326730787197505,6.535840237079628,0.0,Week_Num_18
-32.37616890688489,-0.0,-0.0,Week_Num_19
-99.57445938511476,-29.751502743551494,-0.0,Week_Num_20
33.14008922856528,5.903108021653365,0.0,Week_Num_21
47.48181849762039,5.751813991560061,0.0,Week_Num_22
10.23491411802597,0.0,0.0,Week_Num_23
0.0,0.0,0.0,Week_Num_24
-23.77628063036951,-0.0,0.0,Week_Num_25
177.05840358275316,130.6741959038788,0.0,Week_Num_26
65.86620639195561,0.0,0.0,Week_Num_27
96.33787504282813,22.715976149390453,0.0,Week_Num_28
-69.56472559420502,-40.96839283415554,-0.0,Week_Num_29
55.332850410446135,0.0,0.0,Week_Num_30
22.491548354865394,0.0,0.0,Week_Num_31
259.735204794706,197.3196615971334,0.0,Week_Num_32
-18.519422992102513,-0.0,-0.0,Week_Num_33
-32.27088949534735,-6.509967897003216,-0.0,Week_Num_34
29.80152598039499,0.0,0.0,Week_Num_35
-64.57238780945092,-11.353631137810133,-0.0,Week_Num_36
28.34776285204535,0.0,-0.0,Week_Num_37
-12.595750730670948,-0.0,-0.0,Week_Num_38
27.493350278364158,-0.0,-0.0,Week_Num_39
-0.07047097190191602,-0.0,-0.0,Week_Num_40
1.5311478696603358,-0.0,-0.0,Week_Num_41
-82.24767521684494,-100.67682622521116,-0.0,Week_Num_42
235.94496815115892,113.49748733166257,0.0,Week_Num_43
-2.9958255255413784,0.0,0.0,Week_Num_44
-65.7889014317741,-69.07080962537037,-0.0,Week_Num_45
-18.579612482708058,-21.2107290464975,-0.0,Week_Num_46
148.30267532342324,76.95155870479044,0.0,Week_Num_47
286.26198703523227,185.6333748727983,0.0,Week_Num_48
0.0,-0.0,-0.0,Week_Num_49
81.39200101697945,26.99975120269793,0.0,Week_Num_50
641.4766449644102,552.6693390796001,62.02099352671313,Week_Num_51
544.3945396822106,362.24519772390147,0.0,Week_Num_52
-76.10379970037164,-0.0,-0.0,Week_Num_53
