,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,1,0,1,3,0,4,4,0,2,4,9,0,8,0,6,4,1,3,2
1,0,1,0,1,3,0,4,4,0,2,4,0,7,0,14,2,3,7,1,4
2,0,1,0,1,0,4,4,4,8,0,5,0,7,0,14,2,8,7,1,0
3,0,1,2,3,2,5,5,3,3,6,10,10,11,11,11,7,1,15,7,5
4,0,1,0,1,0,4,1,1,8,0,5,5,1,13,10,12,8,14,16,0
5,0,0,1,2,3,0,0,0,4,7,8,6,6,7,4,1,5,1,3,2
6,0,1,0,1,0,4,4,4,8,0,5,0,7,0,14,2,8,7,1,10
7,0,1,0,1,3,0,4,4,0,2,4,9,0,8,0,6,4,17,3,10
8,0,1,2,3,0,4,1,1,2,1,2,1,5,13,3,12,2,0,13,19
9,0,1,0,1,0,4,1,1,8,0,5,5,1,13,10,12,8,14,11,0
10,0,1,0,1,3,4,4,4,0,2,4,9,7,8,0,8,4,17,1,10
11,0,1,0,1,2,5,5,3,3,6,10,10,11,11,6,7,1,15,7,5
12,0,1,0,1,0,4,4,4,8,0,5,5,7,0,14,8,8,14,16,0
13,0,1,0,1,0,4,1,1,8,1,0,8,8,2,3,15,2,2,10,8
14,0,1,0,1,0,4,1,1,8,0,5,5,1,0,10,12,8,14,16,0
15,0,1,0,3,0,4,1,1,2,1,2,8,5,13,3,12,2,0,13,19
16,0,0,1,2,3,0,0,0,4,2,8,6,0,7,4,1,5,1,3,2
17,0,1,0,1,0,4,1,4,8,0,5,5,7,0,14,2,8,14,16,0
18,0,1,0,1,0,4,4,4,0,2,4,0,7,0,14,2,3,7,1,10
19,0,1,0,1,0,4,1,1,8,0,5,5,1,13,10,12,14,0,13,19
20,0,1,0,1,3,4,4,4,0,2,4,0,7,8,0,8,4,17,1,10
21,0,1,0,1,0,4,1,1,8,0,5,5,1,13,10,12,8,14,13,19
22,0,1,0,1,3,0,4,4,0,2,4,0,0,8,0,6,3,1,3,2
23,0,1,0,1,0,4,4,4,0,0,4,0,7,0,14,2,8,7,16,0
24,0,1,0,1,3,0,4,4,0,2,4,0,7,8,14,2,3,7,1,4
25,0,1,2,3,2,5,5,3,3,6,10,10,11,1,6,7,1,15,17,17
26,0,1,0,1,0,4,1,4,8,0,5,5,7,0,14,2,8,14,16,0
27,0,1,0,1,0,4,1,1,8,1,0,8,8,2,3,8,2,11,11,10
28,0,1,2,3,2,5,1,1,2,8,2,1,5,1,1,0,16,6,4,6
29,0,1,0,1,0,4,4,4,0,1,0,9,8,2,0,15,4,17,10,8
30,0,1,0,1,3,0,4,4,0,2,4,0,7,8,14,2,3,7,1,10
31,0,1,2,3,0,5,1,1,2,1,2,8,5,1,3,0,2,0,13,19
32,0,1,0,1,0,4,1,1,8,1,0,8,8,2,10,15,2,2,13,19
33,0,1,0,1,0,4,1,1,8,1,5,5,1,13,10,12,14,0,13,19
34,0,1,0,1,3,0,4,4,0,2,4,0,7,8,14,2,3,7,1,10
35,0,1,0,1,0,4,4,4,0,2,4,0,7,0,14,8,3,7,1,10
36,0,1,0,1,0,4,1,1,8,0,5,5,1,13,3,8,8,11,11,10
37,0,1,0,1,0,4,1,1,8,0,5,5,1,13,10,12,8,14,11,0
38,0,1,0,1,0,4,1,1,8,0,5,5,1,0,10,12,8,14,16,0
39,0,1,0,1,3,0,4,4,0,2,4,9,0,8,0,6,4,17,0,18
40,0,1,0,1,3,0,0,0,0,2,4,9,0,8,0,6,5,1,3,2
41,0,1,0,1,0,4,1,1,8,1,0,8,8,2,3,15,2,2,11,19
42,0,1,0,1,0,4,4,4,0,2,0,9,8,8,0,8,4,11,11,10
43,0,1,0,1,3,0,4,4,0,2,4,0,7,8,14,2,3,7,1,10
44,0,1,0,1,0,4,1,1,8,0,5,5,1,0,14,12,8,14,11,0
45,0,1,0,1,0,4,4,4,0,0,4,0,7,0,14,8,8,17,16,10
46,0,1,0,1,0,4,1,1,8,0,5,5,1,13,10,12,8,14,11,0
47,0,1,0,1,3,0,4,4,0,2,4,9,0,8,0,6,4,17,3,10
48,0,1,2,3,2,5,5,3,2,8,2,1,5,1,1,0,16,6,4,6
49,0,1,0,1,3,0,4,4,0,0,4,0,7,0,14,2,3,7,1,4
50,0,0,0,1,3,0,0,0,4,2,8,6,0,7,4,1,5,1,3,2
51,0,1,0,1,0,4,1,1,8,0,5,5,1,13,10,12,8,14,11,0
52,0,1,0,1,0,4,1,1,8,0,5,5,1,13,10,12,8,14,16,0
53,0,1,0,1,0,4,4,4,8,0,5,5,7,0,14,2,8,14,16,0
54,0,0,1,2,3,0,0,0,4,2,8,6,6,7,4,1,5,16,5,2
55,0,1,0,1,0,4,1,1,8,0,5,5,1,13,10,12,8,14,11,0
56,0,1,0,1,0,4,1,1,8,0,5,5,1,13,10,8,8,14,11,0
57,0,0,1,2,1,1,6,2,1,3,3,3,2,5,2,11,7,5,14,9
58,0,1,0,1,0,4,4,4,0,1,0,8,8,2,3,8,2,11,11,10
59,0,1,0,1,0,4,4,4,0,2,0,9,0,8,0,8,4,11,11,10
60,0,1,0,1,0,4,4,4,0,2,4,0,7,8,14,8,3,11,1,10
61,0,0,1,2,1,1,6,2,1,3,1,3,12,3,8,4,0,10,6,3
62,0,1,0,1,0,4,1,1,8,1,5,5,1,13,10,12,14,0,13,19
63,0,1,0,1,0,4,1,1,8,1,0,8,1,13,3,8,2,11,11,10
64,0,1,2,3,2,5,5,3,3,6,10,10,11,11,6,7,1,15,17,5
65,0,1,0,1,2,5,5,3,3,6,10,10,8,11,6,15,1,2,10,8
66,0,1,0,1,0,4,1,1,8,1,0,8,1,13,3,12,2,11,11,19
67,0,1,2,3,2,5,5,3,3,1,0,8,8,1,6,15,2,2,17,8
68,0,1,0,1,0,5,5,3,3,1,0,8,8,2,3,15,2,2,10,8
69,0,0,1,2,1,1,6,2,1,7,3,3,2,5,2,10,11,12,18,9
70,0,1,0,1,0,4,4,4,8,0,5,5,7,0,14,8,8,14,16,0
71,0,1,2,3,2,5,5,3,2,8,2,1,5,1,6,0,1,6,17,17
72,0,1,2,3,2,5,5,3,2,8,2,1,5,1,1,0,16,6,4,6
73,0,1,2,3,2,5,5,3,3,6,10,10,8,2,6,15,1,2,10,8
74,0,1,2,3,2,5,5,3,3,6,10,10,11,11,11,7,1,15,7,5
75,0,1,0,1,3,0,0,0,3,6,10,9,0,11,0,6,4,1,3,2
76,0,1,0,1,0,4,1,1,8,0,5,5,1,13,10,12,8,14,11,0
77,0,1,0,1,0,4,4,4,0,1,0,8,8,2,3,8,2,11,11,10
78,0,1,0,1,0,4,4,4,8,0,5,5,7,0,14,8,8,14,16,0
79,0,1,0,1,0,4,1,1,8,0,5,5,1,13,10,12,14,0,13,19
80,0,1,0,1,0,4,1,1,8,0,5,5,1,0,14,2,8,14,11,0
81,0,0,1,2,3,0,0,0,4,2,8,6,6,7,4,1,5,16,5,13
82,0,0,1,2,1,1,6,2,1,7,3,3,2,5,2,11,7,5,14,9
83,0,1,0,1,0,4,1,1,8,0,5,5,1,13,10,12,14,0,13,19
84,0,1,0,1,3,0,4,4,0,2,4,0,0,8,3,8,3,11,11,10
85,0,1,0,1,3,0,4,4,0,2,4,0,7,0,14,2,3,7,1,4
86,0,1,0,1,3,0,4,4,0,2,4,0,7,8,14,2,3,7,1,4
87,0,1,2,3,2,5,5,3,3,6,10,10,11,11,6,7,1,15,7,5
88,0,1,0,1,0,4,4,4,0,1,0,8,8,2,3,8,2,11,11,10
89,0,1,0,1,0,4,1,1,8,1,5,5,1,13,10,12,14,0,13,19
90,0,1,0,1,3,0,4,4,0,2,4,0,7,8,0,6,3,7,1,4
91,0,1,0,3,0,4,1,1,8,1,5,5,1,13,10,12,14,0,13,19
92,0,1,0,1,0,4,1,1,8,1,0,8,8,2,3,15,2,2,10,8
93,0,1,0,1,0,4,4,4,0,1,0,8,8,2,3,8,2,11,11,10
94,0,1,0,1,0,4,1,1,8,0,5,5,1,13,3,8,8,11,11,10
95,0,1,0,1,3,0,4,4,0,2,4,9,0,8,0,6,4,17,0,18
96,0,1,2,3,2,5,1,1,2,1,2,1,5,1,3,0,2,0,13,19
97,0,1,0,1,0,4,4,4,0,0,0,0,7,0,14,8,8,11,11,10
98,0,1,2,3,2,5,5,3,3,6,10,10,11,1,6,7,1,2,17,17
99,0,1,0,1,3,0,4,4,0,2,4,9,0,8,0,6,4,17,0,18
100,0,1,2,3,0,4,1,1,2,0,5,5,1,13,10,12,14,0,13,19
101,0,1,2,3,2,2,3,6,7,4,6,7,4,6,9,5,13,8,9,16
102,0,1,0,1,0,4,4,4,0,1,0,8,8,2,3,8,2,11,11,10
103,0,1,0,1,0,4,1,1,8,0,5,5,1,0,10,12,8,14,16,0
104,0,1,0,1,0,4,4,4,0,0,4,0,7,0,14,2,3,7,1,10
105,0,1,0,1,0,4,1,1,3,1,0,8,8,2,3,15,2,2,10,8
