Alpha_0.1,Alpha_1,Alpha_10,Features
0.721196182932407,0.7120428623780963,0.6415610242436225,Score
-530.6543313947725,-501.5809052661382,-634.1208360642602,Intercept
39.15692339757874,33.51630130055547,0.0,Open Hours
50.35485695388793,51.123607026094426,59.28324834041514,Labour Hours
-15.919957379625725,-16.43030207675177,-44.091487801546336,rain
-23.02942340383217,-0.0,-0.0,snow
2.9951629098915222,2.5264861516695567,0.0,meantempi
-0.11844107134487601,0.959664012566475,2.6680023144094434,meandewpti
-2.2989190585914776,-4.522497754498882,-7.375736800635033,meanwindspdi
-0.8155849210838305,-0.07744731517769121,5.467554127698893,humidity
0.0,-0.0,-0.0,precipi
13.20789882118016,-0.0,-0.0,Holiday_Event_Ash Wednesday 
352.1729554677922,30.951031841609332,0.0,Holiday_Event_Autumn Half Term Ends
-61.8391216487916,-0.0,0.0,Holiday_Event_Autumn Half Term Starts
106.3152755829111,178.9507358040143,0.0,Holiday_Event_Bank Holiday
641.8340625208517,0.0,0.0,Holiday_Event_Bank Holiday (Easter Monday)
-1494.238141331103,-756.5438599866065,-0.0,Holiday_Event_Christmas Eve
-726.1821515073865,-103.61897204129356,-0.0,Holiday_Event_Diwali
-105.40919640885183,-0.0,-0.0,Holiday_Event_Easter Holidays End
0.0,-0.0,-0.0,Holiday_Event_Easter Holidays Start
-212.22291994819776,-0.0,-0.0,Holiday_Event_Easter Sunday
-1.1891360026997442,-0.0,-0.0,Holiday_Event_Eid
0.0,-0.0,-0.0,Holiday_Event_England/Wales Christmas Holidays End
-175.147456026687,-0.0,0.0,Holiday_Event_England/Wales Christmas Holidays Start
-0.0,-0.0,-0.0,Holiday_Event_England/Wales Summer Holidays Start
-31.444141181778175,-0.0,0.0,Holiday_Event_Father'S Day
66.16289321945352,0.0,0.0,Holiday_Event_Freshers Week Starts
5.984604584507055,-0.0,-0.0,Holiday_Event_Half Term Ends
-0.0,-0.0,-0.0,Holiday_Event_Half Term Starts
75.71182861132142,0.0,-0.0,Holiday_Event_Halloween
29.44308329214287,-0.0,-0.0,Holiday_Event_International Womens Day                                                
416.4723677197008,8.148881337372202,0.0,Holiday_Event_May Day Bank Holiday
-101.84266947351365,-0.0,-0.0,Holiday_Event_Mother'S Day          
-182.156991309054,-0.0,-0.0,Holiday_Event_New Years Day
-1568.781683615674,-923.326510307914,-0.0,Holiday_Event_New Years Eve
-0.0,-0.0,-0.0,Holiday_Event_Ni Bank Holiday
-0.0,-0.0,-0.0,Holiday_Event_Ni Christmas Holidays Ends
-45.39303476844474,0.0,0.0,Holiday_Event_Ni Christmas Holidays Start
-86.75151683133879,-0.0,0.0,Holiday_Event_Ni Half Term Ends
49.57083295161759,0.0,0.0,Holiday_Event_Ni Half Term Starts
-41.15713075904505,-0.0,0.0,Holiday_Event_Ni Holidays End
236.78957957246573,0.0,-0.0,Holiday_Event_Ni Holidays Start
3.5461517568710375,0.0,0.0,Holiday_Event_Ni Summer Holidays Start
0.0,-0.0,-0.0,"Holiday_Event_Ni, England & Wales Bank Holiday"
33.584483265312855,0.6001232866727608,-0.0,Holiday_Event_None
