Alpha_0.1,Alpha_1,Alpha_10,Features
0.721534389954277,0.7215161814754609,0.7213357854729174,Score
-32.360258147666855,-70.44879005677603,-186.3810864029224,Intercept
39.914828837919615,39.89852377784141,39.73119428261703,Open Hours
50.28483333263843,50.28803377996509,50.321014420481205,Labour Hours
-12.999989105541475,-13.045770981447841,-14.45953634589747,rain
-35.66099692004386,-35.5995199520418,-35.1181881224027,snow
2.904710976903059,2.867391619904208,2.586300356707479,meantempi
-0.6363275042115415,-0.6433941728991889,-0.7639711340625593,meandewpti
-1.7654896682133254,-1.7782429464088634,-1.9529609317228604,meanwindspdi
-0.8020494065971705,-0.8012573469458323,-0.7332171814669143,humidity
74.61468526355623,75.379986036894,73.63768220754842,Holiday_Event_Ash Wednesday 
363.4192230808869,364.11687028282944,364.6826256805557,Holiday_Event_Autumn Half Term Ends
-114.74868445963371,-113.22290899349166,-102.39664163410974,Holiday_Event_Autumn Half Term Starts
52.02918241034174,73.50051184575617,162.23711733516524,Holiday_Event_Bank Holiday
677.888686163072,675.8193188860502,623.1040263769862,Holiday_Event_Bank Holiday (Easter Monday)
-1724.1758734813384,-1672.8856593450141,-1418.5614400600111,Holiday_Event_Christmas Eve
-812.100970890555,-801.2713490774219,-718.7971103595388,Holiday_Event_Diwali
-167.09379738055898,-163.53116661127402,-147.43858212542264,Holiday_Event_Easter Holidays End
-563.3715854669915,-539.5998901381428,-413.0941895579047,Holiday_Event_Easter Sunday
-27.070899552376606,-25.89289313178039,-18.3072214196294,Holiday_Event_Eid
-265.96853047396195,-257.05853653956984,-188.8844884601532,Holiday_Event_England/Wales Christmas Holidays Start
-139.75385939536633,-135.8843894971315,-107.46428623006412,Holiday_Event_Father'S Day
78.80710147690013,82.42413706838846,97.35911551380958,Holiday_Event_Freshers Week Starts
20.40584499332611,23.823939533513034,33.65179877318138,Holiday_Event_Half Term Ends
170.17617426382427,165.0854775230086,135.82212869958335,Holiday_Event_Halloween
75.46129577132295,76.90081870707122,79.9953445197974,Holiday_Event_International Womens Day                                                
157.92370692377318,179.4527517969836,255.9808225785334,Holiday_Event_May Day Bank Holiday
-168.15422284400108,-164.73528936640065,-142.4383563766363,Holiday_Event_Mother'S Day          
-381.6414465008405,-344.15411494751726,-210.6191276016142,Holiday_Event_New Years Day
-1749.9682590903917,-1704.4209545583062,-1483.5882117223869,Holiday_Event_New Years Eve
-150.89278698337233,-141.70832006596066,-70.99909263974908,Holiday_Event_Ni Christmas Holidays Start
-169.88466172158098,-164.5511188684102,-129.75918093229245,Holiday_Event_Ni Half Term Ends
76.35756959149978,78.34802360582016,88.54533931606427,Holiday_Event_Ni Half Term Starts
-107.46939242077516,-103.59977045400446,-65.7939570448759,Holiday_Event_Ni Holidays End
304.17292399944165,303.47181105143426,289.5559444354109,Holiday_Event_Ni Holidays Start
47.3785775919136,46.214862633399726,44.13159827380639,Holiday_Event_Ni Summer Holidays Start
25.1394531175857,27.05497045346409,39.46127068641689,Holiday_Event_None
502.7679154315214,501.61552092773354,485.3233491071529,Holiday_Event_Scotland Bank Holiday
719.6934650874454,694.3463958967177,543.3503595106121,Holiday_Event_Scotland Summer Holidays End
-82.28512196961167,-80.75591246823167,-62.91363805834314,Holiday_Event_Scotland Summer Holidays Start
-295.0912565501651,-293.1952321613341,-272.7603168011738,Holiday_Event_Scottish Christmas Holidays End
452.1262112553969,459.3451480118069,510.4443872080765,Holiday_Event_Scottish Christmas Holidays Start
683.957551315738,682.4237002622717,658.6494623373252,Holiday_Event_Scottish Holidays Start Bank Holiday (Good Friday)
132.94290463490225,134.0297772745351,140.74636920192532,Holiday_Event_Valentines Day      
-101.05866251484842,-98.82802078409601,-83.50157579750555,Holiday_Event_World Book Day    
-329.9065773826707,-274.1105424527224,-64.37743956569072,Holiday_Period_All School Hols
157.92370692375022,179.45275179698461,255.9808225785344,Holiday_Period_Bank Holiday
-84.94456948317573,-53.256314282259495,54.21550974732324,Holiday_Period_Easter
-287.87501155486984,-242.59097134783298,-80.30704004438886,Holiday_Period_Halloween
-203.3435190127203,-152.71745499576048,49.59452553731193,Holiday_Period_Halloween - School
506.3164731016698,538.6593506975154,619.8754141896229,Holiday_Period_Ni School Hols
-78.67345638515422,-46.50482793882574,27.205352560013313,Holiday_Period_Ni/England/Wales School Hols
-177.01999622566575,-127.22252019139269,44.278830200813026,Holiday_Period_Ni/Scot School Hols
-423.5634291392051,-383.79312999443687,-250.25448664505078,Holiday_Period_None
-8.505572778154235,27.437668078124595,157.9268693122166,Holiday_Period_School Hols
-239.386469943845,-198.0084178536238,-62.43472839447105,Holiday_Period_Scotland School Hols
-415.0593822138752,-369.95629990767515,-204.1800137080695,Holiday_Period_St Patricks
-70.32701266467691,-34.08270328079597,90.30657865167088,Holiday_Period_Valentines
40.100738714810454,39.343960652385014,27.247471874781205,Promo_Ears 342
80.28044876491997,80.97100658382163,76.50062277023362,Promo_Ears 342 & Rbj Bog50% & Plush Bog50%
-69.31972027380962,-72.67268416657151,-110.52424239817628,Promo_Ears 342 & Rbj Bogo50%
58.347619639057456,57.41317377204741,42.82063274935635,Promo_Ears 342 / Hair 342
-0.05700301140066742,2.1011360237242385,13.797577230206276,Promo_Es342
91.98475385560064,97.40673891838222,121.41273018394556,Promo_Esb3G2
239.13375050551247,241.84183811273948,258.1810521876043,Promo_Esb3G3
-91.57498965974646,-88.17354995052321,-67.67509826298654,Promo_Hair & Jwly 342
79.20364977678506,78.96343628448035,74.9309137872113,Promo_Hair & Jwly B3G2
-56.851800398840666,-56.81624172345683,-64.56748461569562,Promo_Hair 342
441.2304181225247,434.070659986305,391.4311390206146,Sales_Promo_10 For 5
20.869301628712044,17.13878072384209,-8.042798520036099,Sales_Promo_342
215.82817186690247,211.20077880699932,179.64062614751202,Sales_Promo_345
98.00059248512441,87.17885214603986,37.83237037274659,Sales_Promo_545
43.04150656436678,40.15680367082451,21.00380390241939,Sales_Promo_75% Off
-199.46167017396186,-189.47574302973462,-155.794327071576,Sales_Promo_€2 Dot
-63.02162070802593,-63.01179178062953,-62.90020077983498,Cluster_0
-228.06310508827264,-228.0406115110749,-227.8408238684554,Cluster_1
-93.47371022747103,-93.43694030434683,-93.0103361045994,Cluster_2
384.5584358993886,384.48934358447684,383.7513607517701,Cluster_3
-264.2459532130707,-263.6673685765169,-259.0691216895669,Day_of_Week_0
-248.55302165893067,-247.88095177642475,-244.0040934279827,Day_of_Week_1
-206.92119213923525,-206.82011310764895,-206.07127925878345,Day_of_Week_2
-214.59540897493122,-214.3023530952658,-212.47236513283548,Day_of_Week_3
-59.48967800452932,-59.522401571174605,-59.18887467566792,Day_of_Week_4
667.092993389687,666.445182307663,661.5422021747394,Day_of_Week_5
326.71226069136384,325.74800583840545,319.2635320106285,Day_of_Week_6
-195.7428277208013,-194.478929687791,-180.2566205050565,Week_Num_1
-222.31758839707567,-220.3949009196959,-206.08887355495193,Week_Num_2
