Feature,Multiplier
Open Hours,8.615894553
Labour Hours,20.86702254
rain,0.539171372
snow,0.018520936
meantempi,50.73461212
meandewpti,45.04586991
meanwindspdi,8.328350902
humidity,79.50512385
precipi,0.017010541
Holiday_flag,0.127982115
Holiday_Period_flag,0.439117522
Promo_Cc & Lic,0.019940602
Promo_Ears 342,0.083907183
Promo_Ears 342 & Rbj Bog50% & Plush Bog50%,0.05792076
Promo_Ears 342 & Rbj Bogo50%,0.054926406
Promo_Ears 342 / Hair 342,0.016579093
Promo_Es342,0.16778173
Promo_Esb3G2,0.066022649
Promo_Esb3G3,0.351563265
Promo_Hair & Ears 342,0.027471362
Promo_Hair & Jwly 342,0.079623707
Promo_Hair & Jwly B3G2,0.03297053
Promo_Hair 342,0.041292712
Sales_Promo_10 For 5,0.019255246
Sales_Promo_342,0.019157338
Sales_Promo_342 / Bogof,0.016481185
Sales_Promo_345,0.165709344
Sales_Promo_545,0.066038967
Sales_Promo_75% Off,0.650060377
Sales_Promo_B3G3,0.038486015
Sales_Promo_€2 Dot,0.024811527
Cluster_1,0.269801899
Cluster_2,0.023710062
Cluster_3,0.120802193
Day_of_Week_1,0.143133383
Day_of_Week_2,0.143329199
Day_of_Week_3,0.143476061
Day_of_Week_4,0.144626481
Day_of_Week_5,0.146241963
Day_of_Week_6,0.136361411
Week_Num_2,0.019361313
Week_Num_3,0.0193042
Week_Num_4,0.019263405
Week_Num_5,0.019312359
Week_Num_6,0.019320518
Week_Num_7,0.019353154
Week_Num_8,0.019296041
Week_Num_9,0.019255246
Week_Num_10,0.019263405
Week_Num_11,0.0193042
Week_Num_12,0.017248132
Week_Num_13,0.019230769
Week_Num_14,0.019263405
Week_Num_15,0.019165497
Week_Num_16,0.019287882
Week_Num_17,0.019296041
Week_Num_18,0.019206292
Week_Num_19,0.019230769
Week_Num_20,0.019255246
Week_Num_21,0.0193042
Week_Num_22,0.019320518
Week_Num_23,0.019173656
Week_Num_24,0.019287882
Week_Num_25,0.019320518
Week_Num_26,0.019165497
Week_Num_27,0.019255246
Week_Num_28,0.019189974
Week_Num_29,0.019296041
Week_Num_30,0.019230769
Week_Num_31,0.019100225
Week_Num_32,0.019189974
Week_Num_33,0.0193042
Week_Num_34,0.019296041
Week_Num_35,0.019230769
Week_Num_36,0.019181815
Week_Num_37,0.019165497
Week_Num_38,0.019271564
Week_Num_39,0.019092066
Week_Num_40,0.019214451
Week_Num_41,0.019198133
Week_Num_42,0.019271564
Week_Num_43,0.019230769
Week_Num_44,0.019255246
Week_Num_45,0.019189974
Week_Num_46,0.019189974
Week_Num_47,0.0193042
Week_Num_48,0.0193042
Week_Num_49,0.019116543
Week_Num_50,0.019263405
Week_Num_51,0.016513821
Week_Num_52,0.016424072
Week_Num_53,0.00662511
