Store_Number,Airport_Code
1,EGNM
4,EGKA
7,EGGW
13,EGBN
16,EGTE
22,EGNX
23,EGTG
24,EGBB
25,EGHI
27,EGGD
30,EGHJ
31,EGNS
33,EGNV
35,EGNJ
38,EGNJ
41,EGFH
44,EGBN
46,EGGW
51,EGBJ
52,EGTB
53,EGMC
54,EGPH
56,EGLC
57,EGPH
58,EGWU
62,EGTE
66,EGHH
68,EGPF
69,EGTG
77,EGAC
80,EGSC
82,EGGW
83,EGAC
84,EGLC
85,EGNR
87,EGLL
88,EGCC
89,EGGW
90,EGAC
91,EGGP
92,EGPF
94,EGBB
95,EGTG
96,EGTO
97,EGTO
100,EGPF
101,EGHH
102,EGBE
103,EGPN
106,EGVN
107,EGTB
108,EGKK
109,EGBE
110,EGNH
114,EGTG
115,EGLC
116,EGGW
117,EGTG
118,EGMC
119,EGSH
121,EGBB
123,EGLC
124,EGAC
125,EGHI
126,EGLL
128,EGOV
130,EGNM
132,EGTB
133,EGTG
134,EGGP
135,EGSS
136,EGBE
139,EGYM
140,EGTE
141,EGHC
144,EGFH
145,EGTO
147,EGBN
148,EGOV
149,EGPF
151,EGBJ
152,EGBB
153,EGKA
155,EGNC
157,EGLC
158,EGLL
159,EGAE
160,EGFH
161,EGSC
162,EGCC
164,EGPH
166,EGNM
167,EGPH
168,EGNX
172,EGBB
174,EGPD
175,EGSS
176,EGBE
180,EGQL
181,EGLC
182,EGNT
183,EGMC
185,EGNM
186,EGCC
187,EGHJ
188,EGAB
189,EGSH
190,EGSS
192,EGMC
193,EGMC
194,EGLC
195,EGKK
196,EGNT
197,EGGW
199,EGPN
200,EGTG
201,EGPF
204,EGCC
205,EGLC
207,EGBB
208,EGKK
211,EGLL
212,EGSC
213,EGPH
215,EGFF
216,EGBB
219,EGNJ
220,EGJJ
221,EGNT
224,EGLC
226,EGNH
227,EGNH
228,EGFF
230,EGNH
231,EGDY
232,EGNM
233,EGAA
234,EGNL
235,EGVN
236,EGLL
238,EGBJ
239,EGGP
241,EGBE
245,EGNX
246,EGPF
247,EGNM
248,EGNM
250,EGLL
252,EGCC
254,EGLL
255,EGLC
256,EGTO
257,EGCC
258,EGNH
259,EGAC
261,EGYM
262,EGMH
263,EGSS
264,EGPH
265,EGBB
266,EGHC
267,EGNR
269,EGNX
270,EGBE
271,EGLL
272,EGNL
276,EGXU
277,EGWU
279,EGKA
280,EGBJ
281,EGHI
282,EGBE
283,EGLL
284,EGSS
286,EGPK
289,EGUL
290,EGNM
292,EGYM
294,EGPK
295,EGWU
296,EGCC
298,EGKA
301,EGNR
308,EGPN
311,EGVN
314,EGBB
315,EGCN
316,EGNJ
317,EGLL
319,EGCN
326,EGWU
327,EGTO
329,EGLL
330,EGHI
335,EGGP
336,EGCC
339,EGTE
340,EGLL
341,EGXU
342,EGCC
344,EGLC
347,EGGW
348,EGCN
349,EGTO
350,EGCN
351,EGNL
352,EGFF
353,EGBE
354,EGGP
355,EGNT
356,EGCN
357,EGHI
359,EGFE
360,EGBN
361,EGAA
362,EGTO
364,EGFF
366,EGTB
367,EGBB
368,EGNC
369,EGHC
370,EGWU
371,EGPD
375,EGTE
377,EGMH
379,EGTG
382,EGLL
386,EGHC
387,EGWU
390,EGPF
392,EGCC
393,EGTB
394,EGHI
397,EGDY
398,EGPH
399,EGNJ
407,EGLC
408,EGNH
409,EGBB
410,EGUN
413,EGLC
414,EGNV
415,EGPH
416,EGCC
417,EGXU
418,EGKA
419,EGNC
421,EGHJ
422,EGMH
423,EGGW
424,EGCC
426,EGHJ
429,EGNT
430,EGHH
431,EGKK
433,EGLL
437,EGCC
438,EGUN
439,EGNT
441,EGNC
442,EGNJ
444,EGLC
445,EGVN
447,EGBN
448,EGAE
449,EGNX
450,EGLC
451,EGNV
454,EGDY
455,EGCC
456,EGCC
460,EGTE
464,EGFF
466,EGTO
468,EGPE
469,EGNT
470,EGAA
471,EGNM
472,EGLL
473,EGLL
474,EGDY
476,EGTO
478,EGNM
479,EGBB
480,EGLC
482,EGCN
483,EGCN
484,EGLC
485,EGYM
486,EGAA
488,EGBB
489,EGBB
490,EGSC
491,EGVN
492,EGGW
493,EGTO
494,EGHJ
495,EGQK
497,EGJB
498,EGLC
504,EGSH
505,EGPF
506,EGYM
507,EGNT
508,EGSH
509,EGPH
510,EGCC
511,EGVN
512,EGBE
514,EGLC
515,EGNX
516,EGLL
517,EGTE
518,EGMH
519,EGFE
520,EGPF
524,EGDY
526,EGPF
527,EGAC
528,EGTG
529,EGGP
530,EGWU
531,EGWU
532,EGCC
533,EGCC
534,EGFF
540,EGCC
541,EGNR
542,EGGW
543,EGLC
544,EGGW
545,EGCC
2300,EGHI
2301,EGTG
2302,EGNM
2303,EGSC
2304,EGWU
2305,EGBB
2307,EGDJ
2309,EGBB
