Alpha_0.1,Alpha_1,Alpha_10,Features
0.7385513904208096,0.7318562332936528,0.6823145365042976,Score
-87.08869056608182,-62.20932175897815,-324.3785380695915,Intercept
11.08619226674871,1.4826535950426267,-27.617437342645943,Open Hours
71.10522306602192,73.42946020662957,88.1191270559623,Labour Hours
-8.975322140345167,-11.97299898177828,-7.835187818046839,rain
-15.634394899954215,-0.0,-0.0,snow
-0.26860238196962655,-0.0,-0.0,meantempi
1.7413385371660002,1.8877175486317646,1.4030871438875239,meandewpti
-2.5123493973505404,-3.2462378050979024,-2.2963222157926215,meanwindspdi
-1.077216016298635,-0.32946473665831866,3.325187063415828,humidity
9.629837484217166,0.0,-0.0,precipi
0.0,-0.0,-0.0,Holiday_Event_Ash Wednesday
218.8680267077529,0.0,0.0,Holiday_Event_Autumn half term ends
-85.01172739291201,-0.0,0.0,Holiday_Event_Autumn half term starts
367.85004242963095,367.0780697955981,0.0,Holiday_Event_Bank holiday
692.6691719821845,0.0,0.0,Holiday_Event_Bank holiday (easter Monday)
-1041.4390826199935,-555.4373094404815,-0.0,Holiday_Event_Christmas Eve
-746.1084520569094,-171.97334199116122,-0.0,Holiday_Event_Diwali
-21.824192497123867,-0.0,-0.0,Holiday_Event_EID
-114.32966996910591,-0.0,-0.0,Holiday_Event_Easter Sunday
-109.90134675373632,-0.0,-0.0,Holiday_Event_Easter holidays end
12.321158781793013,-0.0,-0.0,Holiday_Event_Easter holidays start
1.6054127192777068,0.0,-0.0,Holiday_Event_Eid
-20.54641315279603,-0.0,0.0,Holiday_Event_England/Wales Christmas holidays start
-0.0,-0.0,-0.0,Holiday_Event_England/Wales Summer holidays start
-1.0160946705450218,0.0,0.0,Holiday_Event_Father's day
58.03479640395458,0.0,0.0,Holiday_Event_Freshers week starts
-0.0,-0.0,0.0,Holiday_Event_Half term ends
0.0,-0.0,-0.0,Holiday_Event_Half term starts
122.19488444500404,0.0,0.0,Holiday_Event_Half term starts Bank holiday
-0.0,-0.0,-0.0,Holiday_Event_Halloween
10.952295638882177,-0.0,-0.0,Holiday_Event_International womens day
418.74129940754773,55.09497773208329,0.0,Holiday_Event_May day bank holiday
-62.80668940279514,-0.0,-0.0,Holiday_Event_Mother's day
-0.0,-0.0,-0.0,Holiday_Event_NI Bank holiday
-76.5454455301816,-0.0,0.0,Holiday_Event_NI Christmas holidays start
-87.02628432390807,-0.0,0.0,Holiday_Event_NI half term ends
16.043070007903204,0.0,0.0,Holiday_Event_NI half term starts
-81.92845043717404,-0.0,-0.0,Holiday_Event_NI holidays end
246.0053084525577,0.0,-0.0,Holiday_Event_NI holidays start
-0.0,0.0,0.0,Holiday_Event_NI summer holidays start
85.7306177091628,0.0,0.0,"Holiday_Event_NI, England & Wales bank holiday"
-1105.4611946042394,-673.8917108099544,-0.0,Holiday_Event_New Years Eve
21.287682163933663,-4.769135094994957,-0.0,Holiday_Event_None
-49.23107003978037,-0.0,-0.0,Holiday_Event_Ramadan starts
-0.0,-0.0,-0.0,Holiday_Event_ST PATRICKS DAY (NI BHOL)
381.63517312601084,0.0,0.0,Holiday_Event_Scotland Bank holiday
458.9438637465236,0.0,0.0,Holiday_Event_Scotland summer holidays end
-0.0,-0.0,0.0,Holiday_Event_Scotland summer holidays start
310.33463897038104,106.92275708534719,0.0,Holiday_Event_Scottish Christmas holidays start
581.3603973640083,46.17043669683198,0.0,Holiday_Event_Scottish holidays start Bank holiday (good Friday)
-0.0,-0.0,-0.0,Holiday_Event_Shrove Tuesday
152.89307032028518,0.0,0.0,Holiday_Event_Valentines day
-21.42716042656284,-0.0,-0.0,Holiday_Event_World book day
-0.0,81.90075654502108,0.0,Holiday_Period_All School hols
29.44509859178329,0.988334732715101,0.0,Holiday_Period_Bank Holiday
-11.316933879507884,-20.492872538500823,0.0,Holiday_Period_Christmas
-97.38469054713518,-0.0,-0.0,Holiday_Period_Easter
-163.3678196804455,-196.18271337687096,-13.292701309498243,Holiday_Period_Halloween
66.00045681761303,260.8272171941918,0.0,Holiday_Period_Halloween - School
441.766734410534,193.71367728433796,0.0,Holiday_Period_NI School hols
46.69096449318443,-0.0,-0.0,Holiday_Period_NI/England/Wales School hols
13.269729596337617,0.0,0.0,Holiday_Period_NI/Scot school hols
-313.7116315443593,-259.7527323003345,-164.02692597734787,Holiday_Period_None
89.81809423359799,124.85491660847829,18.45547401968147,Holiday_Period_School hols
-134.65168790692633,-0.0,0.0,Holiday_Period_Scotland School hols
-232.19062476863581,-70.70305635116254,-0.0,Holiday_Period_St Patricks
0.0,0.0,-0.0,Holiday_Period_Valentines
0.0,-0.0,-0.0,Promo_CC & Lic
-72.69577064508266,0.0,0.0,Promo_ES342
0.0,-0.0,0.0,Promo_ESB3G2
133.75693726595335,217.20601619014187,272.6267435119603,Promo_ESB3G3
26.383442931036214,-159.0792152479174,-0.0,Promo_Ears 342
-0.0,-0.0,-0.0,Promo_Ears 342 & RBJ BOG50% & Plush BOG50%
-107.36427230751896,-237.73620658306015,-0.0,Promo_Ears 342 & RBJ BOGO50%
-71.4295302232958,-0.0,0.0,Promo_Ears 342 / Hair 342
-0.0,22.214225390883236,-0.0,Promo_Hair & Ears 342
-0.0,0.0,-0.0,Promo_Hair & Jwly 342
1.6224928321646324,0.0,0.0,Promo_Hair & Jwly B3G2
0.0,0.0,0.0,Promo_Hair 342
70.92144886418056,0.0,0.0,Sales_Promo_342
-48.79385696864436,-37.8362753423207,-60.60133024673795,Sales_Promo_345
6.189102274662082,-0.0,0.0,Sales_Promo_545
202.45266441880864,0.0,0.0,Sales_Promo_10 FOR 5
-0.0,0.0,-0.0,Sales_Promo_342 / BOGOF
-39.19990453987631,-147.1244359761045,-119.24213514958907,Sales_Promo_75% OFF
222.8366842401098,43.59825810547128,1.0637355447667136,Sales_Promo_75% Off
-0.0,5.292746753707974,0.0,Sales_Promo_B3G3
-263.4311862503814,-163.05591416686096,-0.0,Sales_Promo_€2 DOT
-66.41851777560304,-17.13044891324416,-0.0,Cluster_0
0.062398253548258883,0.11829156904611247,0.0,Cluster_1
655.1158428891295,630.9906246084518,401.8610243667654,Cluster_2
-234.7501546162448,-228.84785541059665,-173.3620864930785,Cluster_3
-141.88232355180693,-104.28483260063632,-42.587421647803566,Day_of_Week_0
-105.8067979831594,-103.06985128189685,-42.22041434678694,Day_of_Week_1
-62.50419798836603,-65.30089117338984,-0.0,Day_of_Week_2
-0.0,-0.0,-0.0,Day_of_Week_3
158.3965884615556,156.6303372009514,72.91808578405761,Day_of_Week_4
856.4180716908407,808.6580352856764,613.1424827042493,Day_of_Week_5
373.4779745114074,318.6356293538694,140.77546484876615,Day_of_Week_6
-24.824972362137093,0.0,-0.0,Week_Num_4
-78.46870027857149,-0.0,-0.0,Week_Num_5
-385.2765437091184,-266.07334131796557,-0.0,Week_Num_6
-177.1790032041913,0.0,0.0,Week_Num_7
21.1501231456059,-0.0,-0.0,Week_Num_8
0.0,-5.542046707860139,-0.0,Week_Num_9
-110.19095894255395,-108.12439419228329,-0.0,Week_Num_10
-68.00534722692217,-37.21983966233693,-0.0,Week_Num_11
-0.0,-0.0,-0.0,Week_Num_12
-355.4659034687863,-60.48444742659341,-0.0,Week_Num_13
-33.902916119587886,0.0,-0.0,Week_Num_14
-192.06335440628249,-101.27296954599505,-0.0,Week_Num_15
0.0,-0.0,-0.0,Week_Num_16
121.11119054515402,10.602157833726972,0.0,Week_Num_17
1.1513585047378074,0.0,0.0,Week_Num_18
43.603479195657066,-0.0,-0.0,Week_Num_19
85.87707916848677,0.0,0.0,Week_Num_20
194.0965825172989,100.7534124696179,0.0,Week_Num_21
148.54889276772278,93.37049185733896,0.0,Week_Num_22
90.96073700647683,0.0,-0.0,Week_Num_23
134.97044564089043,0.0,0.0,Week_Num_24
160.80564468675732,16.83581040749385,0.0,Week_Num_25
116.41390198548932,0.0,0.0,Week_Num_26
0.0,-0.0,0.0,Week_Num_27
-17.506877058542727,-0.0,0.0,Week_Num_28
-36.48802273660574,-15.872946587687204,0.0,Week_Num_29
143.4976624520184,64.35605817852318,0.0,Week_Num_30
41.34656630012269,0.0,0.0,Week_Num_31
-144.31350178495808,-0.0,-0.0,Week_Num_32
